joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Côte d’Ivoire,,42,174 cm,
,,,,,,
Emerse Faé,,,,,,
,GA,Rizespor,1,25,194 cm,"4,9 M €"
,,,,,,
Yahia Fofana,,,,,,
,GA,Sporting Charleroi,16,24,186 cm,"1,1 M €"
,,,,,,
Mohamed Koné,,,,,,
,GA,Panathinaikos,23,27,191 cm,"2,2 M €"
,,,,,,
Alban Lafont,,,,,,
,"DD, DC, DLD",Strasbourg,17,23,186 cm,"21,6 M €"
,,,,,,
Guéla Doué,,,,,,
,DC,Sporting CP,2,22,190 cm,"47,5 M €"
,,,,,,
Ousmane Diomande,,,,,,
,"DC, DD",Galatasaray,5,25,190 cm,"24,9 M €"
,,,,,,
Wilfried Singo,,,,,,
,DC,Atalanta,7,25,188 cm,"20,8 M €"
,,,,,,
Odilon Kossounou,,,,,,
,DC,Beşiktaş,20,28,192 cm,"19,1 M €"
,,,,,,
Emmanuel Agbadou,,,,,,
,DC,Roma,21,26,192 cm,36 M €
,,,,,,
Evan N'Dicka,,,,,,
,DG,Gil Vicente,3,30,176 cm,"1,7 M €"
,,,,,,
Ghislain Konan,,,,,,
,"DG, AG",Başakşehir,13,29,182 cm,"2,3 M €"
,,,,,,
Christopher Opéri,,,,,,
,"MD, MC",Nottingham Forest,18,28,191 cm,"25,2 M €"
,,,,,,
Ibrahim Sangaré,,,,,,
,"MD, MC, MO",Trabzonspor,26,20,173 cm,"2,6 M €"
,,,,,,
Christ Inao Oulaï,,,,,,
,MC,Côte d’Ivoire,4,34,168 cm,150 k €
,,,,,,
Jean Michaël Seri,,,,,,
,MC,FC Porto,6,31,183 cm,6 M €
,,,,,,
Seko Fofana,,,,,,
,"MC, MD, MO, DC",Al Ahli,8,29,180 cm,"7,1 M €"
,,,,,,
Franck Kessié,,,,,,
,"MD, ATT, AD",Villarreal,19,31,178 cm,5 M €
,,,,,,
Nicolas Pépé,,,,,,
,"AD, DLD, MO",Manchester United,15,23,174 cm,"60,2 M €"
,,,,,,
Amad Diallo,,,,,,
,"AD, AG, MG, MD",RB Leipzig,11,19,180 cm,"33,4 M €"
,,,,,,
Yan Diomande,,,,,,
,"AD, ATT, AG, MO",Crystal Palace,22,24,185 cm,"35,3 M €"
,,,,,,
Evann Guessand,,,,,,
,"AG, MG, ATT, DLG",Monaco,10,24,175 cm,"25,2 M €"
,,,,,,
Simon Adingra,,,,,,
,"AG, MG, ATT, DLG, MD",Hoffenheim,24,20,178 cm,"26,3 M €"
,,,,,,
Bazoumana Touré,,,,,,
,"AG, MG",Sporting Charleroi,25,25,169 cm,"2,1 M €"
,,,,,,
Parfait Guiagon,,,,,,
,ATT,Inter,9,22,189 cm,"29,6 M €"
,,,,,,
Ange-Yoan Bonny,,,,,,
,ATT,Nice,12,23,184 cm,"17,7 M €"
,,,,,,
Elye Wahi,,,,,,
,ATT,Cercle Brugge,14,22,188 cm,"7,1 M €"
,,,,,,
Oumar Diakité,,,,,,
