joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Pays-Bas,,78,,
,,,,,,
Dick Advocaat,,,,,,
,GA,Miami FC,1,37,189 cm,"83,7 k €"
,,,,,,
Eloy Room,,,,,,
,GA,Telstar,25,24,190 cm,"471,4 k €"
,,,,,,
Tyrick Bodak,,,,,,
,GA,VVV-Venlo,26,26,188 cm,"193,3 k €"
,,,,,,
Trevor Doornbusch,,,,,,
,DD,Sparta Rotterdam,2,24,174 cm,"1,5 M €"
,,,,,,
Shurandy Sambo,,,,,,
,"DD, DG, DLD",Kayserispor,20,32,181 cm,"678,6 k €"
,,,,,,
Joshua Brenet,,,,,,
,"DD, MC, MD, DG, DLG",FC Zürich,8,22,191 cm,1 M €
,,,,,,
Livano Comenencia,,,,,,
,DC,Abha,3,32,180 cm,450 k €
,,,,,,
Juriën Gaari,,,,,,
,DC,RKC Waalwijk,4,27,186 cm,"119,2 k €"
,,,,,,
Roshon van Eijma,,,,,,
,DC,PSV Eindhoven,18,27,184 cm,"2,3 M €"
,,,,,,
Armando Obispo,,,,,,
,DC,Konyaspor,23,29,184 cm,"1,2 M €"
,,,,,,
Riechedly Bazoer,,,,,,
,"DC, DG",NEC Nijmegen,24,23,178 cm,"1,3 M €"
,,,,,,
Deveron Fonville,,,,,,
,DG,PEC Zwolle,5,27,181 cm,"831,4 k €"
,,,,,,
Sherel Floranus,,,,,,
,"DLD, MD",Telstar,13,23,182 cm,"1,2 M €"
,,,,,,
Tyrese Noslin,,,,,,
,"MC, MD",RKC Waalwijk,6,26,180 cm,"159,3 k €"
,,,,,,
Godfried Roemeratoe,,,,,,
,"MC, MD, MO, AG, MG, DC, AD",Igdir FK,10,34,187 cm,"187,4 k €"
,,,,,,
Leandro Bacuna,,,,,,
,"MC, MD",FC Den Bosch,22,26,174 cm,"243,9 k €"
,,,,,,
Kevin Felida,,,,,,
,"MO, MC, MD, ATT",FC Volendam,7,28,178 cm,"1,5 M €"
,,,,,,
Juninho Bacuna,,,,,,
,"AD, MO, AG",Middlesbrough,12,24,172 cm,"4,4 M €"
,,,,,,
Sontje Hansen,,,,,,
,"AD, ATT, MO, MG, AG, MC",Rotherham United,15,22,180 cm,"673,9 k €"
,,,,,,
Arjany Martha,,,,,,
,"AD, MD",Sheffield United,21,26,185 cm,"2,8 M €"
,,,,,,
Tahith Chong,,,,,,
,"AG, MG",Kifisia FC,11,24,180 cm,850 k €
,,,,,,
Jeremy Antonisse,,,,,,
,"AG, MG",Maccabi Haifa,14,31,177 cm,"488,6 k €"
,,,,,,
Kenji GorréBlessure au genou - Inconnu,,,,,,
,"AG, AD, MG",SK Beveren,16,26,181 cm,"537,7 k €"
,,,,,,
Jearl Margaritha,,,,,,
,ATT,Miami FC,9,32,185 cm,"124,1 k €"
,,,,,,
Jürgen Locadia,,,,,,
,"ATT, AD, MO",FC Volendam,17,33,178 cm,"421,5 k €"
,,,,,,
Brandley Kuwas,,,,,,
,"ATT, AG, MC",Terengganu,19,29,176 cm,"102,3 k €"
,,,,,,
Gervane Kastaneer,,,,,,
