joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Belgique,,74,180 cm,
,,,,,,
Hugo Broos,,,,,,
,GA,Mamelodi Sundowns FC,1,34,184 cm,"607,2 k €"
,,,,,,
Ronwen Williams,,,,,,
,GA,Orlando Pirates,16,29,186 cm,"738,4 k €"
,,,,,,
Sipho Chaine,,,,,,
,GA,Siwelele,22,32,181 cm,450 k €
,,,,,,
Ricardo Goss,,,,,,
,"DD, AD",Orlando Pirates,18,23,166 cm,"551,7 k €"
,,,,,,
Kamogelo Sebelebele,,,,,,
,"DD, DC",Mamelodi Sundowns FC,20,31,181 cm,"493,2 k €"
,,,,,,
Khuliso Mudau,,,,,,
,DD,Polokwane City,25,27,189 cm,"388,5 k €"
,,,,,,
Thabang Matuludi,,,,,,
,DC,Mamelodi Sundowns FC,3,22,183 cm,"330,3 k €"
,,,,,,
Khulumani Ndamane,,,,,,
,DC,Hannover 96,5,22,187 cm,"1,9 M €"
,,,,,,
Ime Okon,,,,,,
,DC,Chicago Fire FC,14,20,180 cm,705 k €
,,,,,,
Mbekezeli Mbokazi,,,,,,
,DC,Orlando Pirates,19,30,177 cm,"742,9 k €"
,,,,,,
Nkosinathi Sibisi,,,,,,
,DC,Philadelphia Union,24,22,188 cm,"1,8 M €"
,,,,,,
Olwethu Makhanya,,,,,,
,DG,Mamelodi Sundowns FC,6,30,167 cm,"803,5 k €"
,,,,,,
Aubrey Modiba,,,,,,
,DG,Molde,18,22,181 cm,"1,9 M €"
,,,,,,
Samukele Kabini,,,,,,
,"DG, DC",Kaizer Chiefs,26,25,183 cm,"434,2 k €"
,,,,,,
Bradley Cross,,,,,,
,"MD, MC, MO",Mamelodi Sundowns FC,4,29,176 cm,"1,5 M €"
,,,,,,
Teboho Mokoena,,,,,,
,"MD, MO",Orlando Pirates,5,26,180 cm,"826,8 k €"
,,,,,,
Thalente Mbatha,,,,,,
,"MD, MC",Tondela,13,27,188 cm,600 k €
,,,,,,
Yaya Sithole,,,,,,
,"MD, DC",Mamelodi Sundowns FC,23,25,175 cm,264 k €
,,,,,,
Jayden Adams,,,,,,
,"MO, MC",Mamelodi Sundowns FC,11,36,170 cm,50 k €
,,,,,,
Themba Zwane,,,,,,
,"AG, AD, MO, MD",Orlando Pirates,7,24,171 cm,"683,6 k €"
,,,,,,
Oswin Appollis,,,,,,
,"AG, AD",Orlando Pirates,8,25,168 cm,"512,2 k €"
,,,,,,
Tshepang Moremi,,,,,,
,"AG, MO, AD, MG",Orlando Pirates,10,21,170 cm,"1,5 M €"
,,,,,,
Relebohile Mofokeng,,,,,,
,"AG, AD",AEL Limassol,12,22,178 cm,"546,5 k €"
,,,,,,
Thapelo Maseko,,,,,,
,"ATT, AD",Burnley,9,25,185 cm,"13,3 M €"
,,,,,,
Lyle Foster,,,,,,
,ATT,Orlando Pirates,23,26,188 cm,570 k €
,,,,,,
Evidence Makgopa,,,,,,
,ATT,Mamelodi Sundowns FC,27,30,176 cm,"1,7 M €"
,,,,,,
Iqraam Rayners,,,,,,
