joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Suisse,,62,190 cm,
,,,,,,
Vladimir Petkovic,,,,,,
,GA,Stade Nyonnais,1,26,194 cm,"289,4 k €"
,,,,,,
Melvin Mastil,,,,,,
,GA,USM Alger,16,31,188 cm,850 k €
,,,,,,
Oussama Benbot,,,,,,
,GA,Granada,23,28,183 cm,"929,7 k €"
,,,,,,
Luca Zidane,,,,,,
,"DD, DC",Paris FC,26,27,185 cm,"1,6 M €"
,,,,,,
Samir Chergui,,,,,,
,"DC, DD",Lille,2,34,186 cm,"1,1 M €"
,,,,,,
Aïssa Mandi,,,,,,
,DC,Espérance,4,26,186 cm,"1,4 M €"
,,,,,,
Mohamed Amine Tougai,,,,,,
,DC,JS Kabylie,5,27,186 cm,"420,1 k €"
,,,,,,
Zineddine Belaïd,,,,,,
,"DC, DLG",Borussia Dortmund,21,31,187 cm,"13,2 M €"
,,,,,,
Ramy Bensebaini,,,,,,
,"DC, DD",USM Alger,28,26,185 cm,600 k €
,,,,,,
Achref Abada,,,,,,
,"DG, DC",Young Boys,13,23,185 cm,"9,9 M €"
,,,,,,
Jaouen Hadjam,,,,,,
,"DG, AG",Manchester City,15,24,180 cm,"47,9 M €"
,,,,,,
Rayan Aït-Nouri,,,,,,
,"MD, MC",FC Twente,6,28,183 cm,"5,1 M €"
,,,,,,
Ramiz Zerrouki,,,,,,
,"MD, MC, MO, AG, AD",Eintracht Frankfurt,17,23,183 cm,"19,7 M €"
,,,,,,
Farès Chaïbi,,,,,,
,"MD, MC, DC",Lille,19,31,187 cm,"995,5 k €"
,,,,,,
Nabil Bentaleb,,,,,,
,"MD, MC",Sporting Charleroi,24,22,170 cm,"8,2 M €"
,,,,,,
Yacine Titraoui,,,,,,
,"MC, MD",Nice,14,26,175 cm,12 M €
,,,,,,
Hicham BoudaouiBlessure à la mâchoire - Inconnu,,,,,,
,"MD, DD, MO, DC, MG, DLD",Hellas Verona,25,23,178 cm,6 M €
,,,,,,
Rafik Belghali,,,,,,
,"MO, MC, AG, AD, ATT",Al Ittihad,8,27,175 cm,8 M €
,,,,,,
Houssem Aouar,,,,,,
,"MO, MD, MC, AD",Bayer Leverkusen,22,20,180 cm,21 M €
,,,,,,
Ibrahim Maza,,,,,,
,"AD, MD",Al Ahli,7,35,179 cm,"4,5 M €"
,,,,,,
Riyad Mahrez,,,,,,
,AD,Feyenoord,11,24,176 cm,"23,2 M €"
,,,,,,
Anis Hadj Moussa,,,,,,
,AD,Frosinone,25,23,183 cm,"2,2 M €"
,,,,,,
Farès Ghedjemis,,,,,,
,"AG, AD",Al-Duhail SC,27,23,183 cm,"2,5 M €"
,,,,,,
Adil Boulbina,,,,,,
,"ATT, MO",Marseille,9,26,181 cm,"30,9 M €"
,,,,,,
Amine Gouiri,,,,,,
,ATT,Györi ETO,12,26,190 cm,"960,2 k €"
,,,,,,
Nadhir Benbouali,,,,,,
,"ATT, AG, MO",Wolfsburg,18,26,170 cm,"29,3 M €"
,,,,,,
Mohammed Amoura,,,,,,
