joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Allemagne,,38,,
,,,,,,
Julian Nagelsmann,,,,,,
,GA,Bayern München,1,40,193 cm,"2,6 M €"
,,,,,,
Manuel Neuer,,,,,,
,GA,Hoffenheim,12,36,186 cm,"2,1 M €"
,,,,,,
Oliver Baumann,,,,,,
,GA,VfB Stuttgart,21,29,193 cm,"14,4 M €"
,,,,,,
Alexander Nübel,,,,,,
,DC,Real Madrid,2,33,190 cm,"8,1 M €"
,,,,,,
Antonio Rüdiger,,,,,,
,DC,Borussia Dortmund,3,29,189 cm,"19,4 M €"
,,,,,,
Waldemar Anton,,,,,,
,DC,Bayern München,4,30,194 cm,"31,3 M €"
,,,,,,
Jonathan Tah,,,,,,
,DC,Borussia Dortmund,15,26,191 cm,"43,4 M €"
,,,,,,
Nico Schlotterbeck,,,,,,
,DC,Newcastle United,24,24,194 cm,"38,9 M €"
,,,,,,
Malick Thiaw,,,,,,
,"DG, DLG, MG, AG, DD",Eintracht Frankfurt,18,22,180 cm,"46,2 M €"
,,,,,,
Nathaniel Brown,,,,,,
,DG,RB Leipzig,22,28,180 cm,"17,1 M €"
,,,,,,
David Raum,,,,,,
,"MD, MC",Bayern München,5,22,188 cm,"51,7 M €"
,,,,,,
Aleksandar Pavlovic,,,,,,
,"MD, DD",Bayern München,6,31,176 cm,"42,9 M €"
,,,,,,
Joshua Kimmich,,,,,,
,"MD, MO, MC",Bayern München,8,31,189 cm,"10,8 M €"
,,,,,,
Leon Goretzka,,,,,,
,"MD, MC",Brighton & Hove Albion,13,34,181 cm,"3,7 M €"
,,,,,,
Pascal Groß,,,,,,
,"MD, MC",VfB Stuttgart,16,25,183 cm,"47,3 M €"
,,,,,,
Angelo Stiller,,,,,,
,"MD, MC",Borussia Dortmund,23,25,190 cm,"55,9 M €"
,,,,,,
Felix Nmecha,,,,,,
,"MC, MD, MO",Mainz 05,20,29,180 cm,"17,1 M €"
,,,,,,
Nadiem Amiri,,,,,,
,"MO, AG",Bayern München,10,23,180 cm,115 M €
,,,,,,
Jamal Musiala,,,,,,
,"MO, ATT, DLG, MG",Borussia Dortmund,14,23,183 cm,"42,3 M €"
,,,,,,
Maximilian Beier,,,,,,
,"MO, AG, ATT",Liverpool,17,23,175 cm,"115,8 M €"
,,,,,,
Florian Wirtz,,,,,,
,"AD, AG",Galatasaray,19,30,183 cm,"21,8 M €"
,,,,,,
Leroy Sané,,,,,,
,"AD, MO",Bayern München,25,18,168 cm,47 M €
,,,,,,
Lennart Karl,,,,,,
,"AG, AD, DLD, MO, MD",VfB Stuttgart,9,25,184 cm,"30,6 M €"
,,,,,,
Jamie Leweling,,,,,,
,"ATT, MO",Arsenal,7,26,193 cm,"60,7 M €"
,,,,,,
Kai Havertz,,,,,,
,"ATT, MO, AG",Newcastle United,11,24,198 cm,"72,3 M €"
,,,,,,
Nick Woltemade,,,,,,
,"ATT, MO",VfB Stuttgart,26,29,179 cm,"16,4 M €"
,,,,,,
Deniz Undav,,,,,,
