joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Allemagne,,52,,
,,,,,,
Thomas Tuchel,,,,,,
,GA,Everton,1,32,185 cm,"19,8 M €"
,,,,,,
Jordan Pickford,,,,,,
,GA,Crystal Palace,13,29,188 cm,"32,9 M €"
,,,,,,
Dean Henderson,,,,,,
,GA,Manchester City,23,23,197 cm,"32,7 M €"
,,,,,,
James Trafford,,,,,,
,"DD, DG, DLG",Newcastle United,12,23,182 cm,"52,8 M €"
,,,,,,
Valentino Livramento,,,,,,
,"DD, MD",Chelsea,24,26,182 cm,"54,9 M €"
,,,,,,
Reece James,,,,,,
,"DC, DD",Aston Villa,2,28,183 cm,"44,1 M €"
,,,,,,
Ezri Konsa,,,,,,
,DC,Manchester City,5,32,188 cm,"10,7 M €"
,,,,,,
John Stones,,,,,,
,DC,Manchester City,6,25,182 cm,"70,1 M €"
,,,,,,
Marc Guéhi,,,,,,
,"DC, DG",Newcastle United,15,34,201 cm,"7,2 M €"
,,,,,,
Daniel Burn,,,,,,
,"DC, DD",Bayer Leverkusen,26,23,190 cm,"46,9 M €"
,,,,,,
Jarell Quansah,,,,,,
,"DG, MD, AG",Manchester City,3,21,193 cm,"57,5 M €"
,,,,,,
Nico O'Reilly,,,,,,
,"DG, DD, DLG, MG",Tottenham Hotspur,25,25,184 cm,"38,4 M €"
,,,,,,
Djed Spence,,,,,,
,"MD, MC",Arsenal,4,27,185 cm,"112,9 M €"
,,,,,,
Declan Rice,,,,,,
,"MD, MC",Nottingham Forest,8,23,179 cm,"63,4 M €"
,,,,,,
Elliot Anderson,,,,,,
,"MD, MC",Brentford,14,35,182 cm,"2,5 M €"
,,,,,,
Jordan Henderson,,,,,,
,MD,Manchester United,16,21,184 cm,"65,3 M €"
,,,,,,
Kobbie Mainoo,,,,,,
,"MO, MC, MG, AD",Real Madrid,10,22,186 cm,"120,5 M €"
,,,,,,
Jude Bellingham,,,,,,
,"MO, AG, AD",Aston Villa,17,23,187 cm,"72,4 M €"
,,,,,,
Morgan Rogers,,,,,,
,"MO, MC, AG",Arsenal,21,27,178 cm,"61,2 M €"
,,,,,,
Eberechi Eze,,,,,,
,"AD, MO",Arsenal,7,24,178 cm,"95,2 M €"
,,,,,,
Bukayo Saka,,,,,,
,"AD, AG",Arsenal,20,24,182 cm,"68,2 M €"
,,,,,,
Noni Madueke,,,,,,
,"AG, ATT, AD",Barcelona,11,28,185 cm,"38,6 M €"
,,,,,,
Marcus Rashford,,,,,,
,"AG, ATT, MG",Barcelona,18,25,182 cm,"62,8 M €"
,,,,,,
Anthony Gordon,,,,,,
,"ATT, MO",Bayern München,9,32,188 cm,"106,7 M €"
,,,,,,
Harry Kane,,,,,,
,ATT,Aston Villa,19,30,180 cm,"49,3 M €"
,,,,,,
Ollie Watkins,,,,,,
,ATT,Al Ahli,22,30,185 cm,"18,3 M €"
,,,,,,
Ivan Toney,,,,,,
