joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Grèce,,56,180 cm,
,,,,,,
Georgios Donis,,,,,,
,GA,Al Nassr FC,1,26,186 cm,"554,5 k €"
,,,,,,
Nawaf Al Aqidi,,,,,,
,GA,Al-Ula FC,21,34,185 cm,350 k €
,,,,,,
Mohammed Al Owais,,,,,,
,GA,Al Qadsiah,22,35,178 cm,200 k €
,,,,,,
Ahmed Al Kassar,,,,,,
,"DD, DG",Al Nassr FC,13,26,173 cm,"1,1 M €"
,,,,,,
Nawaf Bu Washl,,,,,,
,"DD, DC, DG, DLG, MG",Al Hilal,24,26,173 cm,"1,5 M €"
,,,,,,
Moteb Al Harbi,,,,,,
,"DD, DLD",Al Ahli,26,26,169 cm,"942,1 k €"
,,,,,,
Ali Majrashi,,,,,,
,"DD, MD, MO, DLD",Al Qadsiah,26,23,170 cm,"1,1 M €"
,,,,,,
Mohammed Abu Al Shamat,,,,,,
,DC,Al Hilal,3,30,177 cm,576 k €
,,,,,,
Ali Lajami,,,,,,
,DC,Al Nassr FC,4,29,185 cm,"809,9 k €"
,,,,,,
Abdulelah Al Amri,,,,,,
,"DC, DG",Al Ittihad,14,33,179 cm,350 k €
,,,,,,
Hassan Kadish,,,,,,
,"DC, DD",Al Hilal,17,27,183 cm,2 M €
,,,,,,
Hassan Al Tambakti,,,,,,
,DC,Al Qadsiah,25,24,184 cm,950 k €
,,,,,,
Jehad Thikri,,,,,,
,"DG, AD, MC, AG, MG",Al Nassr FC,15,25,173 cm,
,,,,,,
Aiman Yahya,,,,,,
,"DLD, DD, MD",Lens,12,26,172 cm,"3,2 M €"
,,,,,,
Saud Abdulhamid,,,,,,
,"MD, MC, MO",Al Ahli,16,24,180 cm,"873,4 k €"
,,,,,,
Ziyad Al Johani,,,,,,
,"MC, MD, MO, DG",Al Hilal,6,27,178 cm,"599,7 k €"
,,,,,,
Nasser Al Dawsari,,,,,,
,"MC, MO, ATT",Al Qadsiah,7,22,175 cm,"4,9 M €"
,,,,,,
Musab Al Juwayr,,,,,,
,"MC, MD, DC",Al Nassr FC,15,29,175 cm,576 k €
,,,,,,
Abdullah Al Khaibari,,,,,,
,"MC, ATT, MD",Neom SC,18,30,178 cm,180 k €
,,,,,,
Alaa Al Hejji,,,,,,
,"MC, MO, MD",Al Hilal,23,31,191 cm,"745,2 k €"
,,,,,,
Mohamed Kanno,,,,,,
,"AD, AG, MO, MD",Al Hilal,20,31,172 cm,"237,4 k €"
,,,,,,
Sultan Mandash,,,,,,
,"AG, MG, ATT",Al Hilal,10,34,173 cm,"935,9 k €"
,,,,,,
Salem Al Dawsari,,,,,,
,"AG, ATT, MO, MG",Al-Ettifaq,17,25,171 cm,"530,8 k €"
,,,,,,
Khalid Al Ghannam,,,,,,
,"ATT, AG, AD, MO, MD",Al Ahli,9,26,185 cm,"3,8 M €"
,,,,,,
Feras Al Brikan,,,,,,
,ATT,Al Ittihad,11,32,184 cm,"363,4 k €"
,,,,,,
Saleh Al Shehri,,,,,,
,"ATT, AG",Al Nassr FC,19,26,186 cm,191 k €
,,,,,,
Abdullah Al Hamddan,,,,,,
