joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Argentine,,48,182 cm,
,,,,,,
Lionel Scaloni,,,,,,
,GA,Atletico Madrid,1,32,191 cm,"2,1 M €"
,,,,,,
Juan Musso,,,,,,
,GA,Marseille,12,34,189 cm,"5,6 M €"
,,,,,,
Gerónimo Rulli,,,,,,
,GA,Aston Villa,23,33,195 cm,"20,7 M €"
,,,,,,
Emiliano Martínez,,,,,,
,"DD, MO",River Plate,4,29,175 cm,"2,7 M €"
,,,,,,
Gonzalo MontielBlessure musculaire - Quelques semaines,,,,,,
,"DD, DLD",Atletico Madrid,26,28,175 cm,14 M €
,,,,,,
Nahuel Molina,,,,,,
,DC,Marseille,2,27,187 cm,"19,4 M €"
,,,,,,
Leonardo Balerdi,,,,,,
,DC,Manchester United,6,28,178 cm,"40,8 M €"
,,,,,,
Lisandro Martínez,,,,,,
,DC,Tottenham Hotspur,13,28,185 cm,"57,7 M €"
,,,,,,
Cristian Romero,,,,,,
,DC,River Plate,19,38,183 cm,979 k €
,,,,,,
Nicolás Otamendi,,,,,,
,"DC, DG",Marseille,25,27,184 cm,"20,1 M €"
,,,,,,
Facundo Medina,,,,,,
,"DG, DC",Lyon,3,33,169 cm,"3,5 M €"
,,,,,,
Nicolás Tagliafico,,,,,,
,"MD, MC, MO",Strasbourg,8,21,170 cm,"30,9 M €"
,,,,,,
Valentín Barco,,,,,,
,MD,Bayer Leverkusen,14,27,177 cm,"32,2 M €"
,,,,,,
Exequiel Palacios,,,,,,
,"MD, MC, MO",Liverpool,20,27,174 cm,"94,4 M €"
,,,,,,
Alexis Mac Allister,,,,,,
,"MC, MD",Boca Juniors,5,31,180 cm,"3,4 M €"
,,,,,,
Leandro Paredes,,,,,,
,"MC, MD, MD, MO",Inter Miami CF,7,32,178 cm,"11,2 M €"
,,,,,,
Rodrigo De Paul,,,,,,
,"MD, AD",Atletico Madrid,17,23,173 cm,"44,8 M €"
,,,,,,
Giuliano Simeone,,,,,,
,"MG, MO, MD, AG, DG, DLG",Atletico Madrid,15,28,180 cm,"22,3 M €"
,,,,,,
Nicolás González,,,,,,
,"MG, AG, MO, MC, ATT",Atletico Madrid,16,25,171 cm,"22,2 M €"
,,,,,,
Thiago Almada,,,,,,
,"MO, MC",Real Betis,11,30,177 cm,"12,3 M €"
,,,,,,
Giovani Lo Celso,,,,,,
,"MO, ATT, AD",Como,18,21,186 cm,"64,6 M €"
,,,,,,
Nico Paz,,,,,,
,"MO, MD, MC, AG",Chelsea,24,25,178 cm,"100,4 M €"
,,,,,,
Enzo Fernández,,,,,,
,ATT,Atletico Madrid,9,26,170 cm,113 M €
,,,,,,
Julián Álvarez,,,,,,
,"ATT, MO, AD",Inter Miami CF,10,38,170 cm,"14,2 M €"
,,,,,,
Lionel Messi,,,,,,
,"ATT, MO",Palmeiras,21,25,188 cm,"22,8 M €"
,,,,,,
José López,,,,,,
,ATT,Inter,22,28,174 cm,"72,2 M €"
,,,,,,
Lautaro Martínez,,,,,,
