joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Australie,,52,194 cm,
,,,,,,
Tony Popovic,,,,,,
,GA,Levante,1,34,184 cm,"1,8 M €"
,,,,,,
Mathew Ryan,,,,,,
,GA,Randers FC,12,31,185 cm,"550,2 k €"
,,,,,,
Paul Izzo,,,,,,
,GA,Melbourne City FC,18,22,190 cm,"1,3 M €"
,,,,,,
Patrick Beach,,,,,,
,DC,APOEL Nicosia,2,32,187 cm,"192,9 k €"
,,,,,,
Milos Degenek,,,,,,
,DC,Parma,3,22,190 cm,"13,9 M €"
,,,,,,
Alessandro Circati,,,,,,
,DC,Albirex Niigata,6,33,184 cm,"292,3 k €"
,,,,,,
Jason Geria,,,,,,
,DC,Leicester City,19,27,198 cm,"3,8 M €"
,,,,,,
Harry Souttar,,,,,,
,DC,Swansea City,21,30,194 cm,"1,4 M €"
,,,,,,
Cameron Burgess,,,,,,
,DC,Colorado Rapids,25,18,192 cm,"1,6 M €"
,,,,,,
Lucas Herrington,,,,,,
,"DG, DLG, AG",Feyenoord,5,23,180 cm,"8,7 M €"
,,,,,,
Jordan Bos,,,,,,
,"DG, DLG",Melbourne City FC,16,35,170 cm,"287,4 k €"
,,,,,,
Aziz Behich,,,,,,
,"MD, MC",New York City FC,13,27,178 cm,"1,8 M €"
,,,,,,
Aiden O'NeillBlessure à la jambe - Mi juin 2026,,,,,,
,"MD, DC, MC",New York City FC,15,25,179 cm,1 M €
,,,,,,
Kai Trewin,,,,,,
,"MD, MC",St. Pauli,22,33,180 cm,"1,2 M €"
,,,,,,
Jackson Irvine,,,,,,
,"MD, MC",Sydney FC,24,21,186 cm,788 k €
,,,,,,
Paul Okon-Engstler,,,,,,
,"MC, MD",Melbourne City FC,7,35,181 cm,"151,2 k €"
,,,,,,
Matthew Leckie,,,,,,
,"MC, MD, MO",Heracles,10,29,183 cm,"340,9 k €"
,,,,,,
Ajdin Hrustic,,,,,,
,"MC, MD",Hearts,14,27,170 cm,"2,3 M €"
,,,,,,
Cameron Devlin,,,,,,
,"MD, ATT, MG, AG",Watford,17,20,175 cm,"11,1 M €"
,,,,,,
Nestory Irankunda,,,,,,
,"MO, DLG, DLD, MG, AG",Grazer AK,4,24,177 cm,"325,2 k €"
,,,,,,
Jacob Italiano,,,,,,
,"MO, MD, MG, MD",St. Pauli,8,26,178 cm,"1,2 M €"
,,,,,,
Connor Metcalfe,,,,,,
,"AD, MD",Castellon,11,30,179 cm,"341,3 k €"
,,,,,,
Awer Mabil,,,,,,
,AD,Sassuolo,20,22,187 cm,"12,7 M €"
,,,,,,
Cristian Volpato,,,,,,
,"AD, AG",Melbourne Victory,23,25,181 cm,"312,5 k €"
,,,,,,
Nishan Velupillay,,,,,,
,ATT,Norwich City,9,22,186 cm,"2,1 M €"
,,,,,,
Mohamed Touré,,,,,,
,"ATT, AG",Machida Zelvia,26,25,197 cm,397 k €
,,,,,,
Tete Yengi,,,,,,
