joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Allemagne,,67,,
,,,,,,
Ralf Rangnick,,,,,,
,GA,Salzburg,1,30,184 cm,"1,5 M €"
,,,,,,
Alexander Schlager,,,,,,
,GA,Viktoria Plzen,12,25,205 cm,"783,6 k €"
,,,,,,
Florian Wiegele,,,,,,
,GA,Brøndby IF,13,29,182 cm,"1,5 M €"
,,,,,,
Patrick Pentz,,,,,,
,"DD, DG, MD",Bayern München,20,29,180 cm,"33,6 M €"
,,,,,,
Konrad Laimer,,,,,,
,DC,Elche,2,25,185 cm,"10,2 M €"
,,,,,,
David Affengruber,,,,,,
,DC,Tottenham Hotspur,3,27,190 cm,"23,9 M €"
,,,,,,
Kevin Danso,,,,,,
,"DC, DD",Mainz 05,5,29,190 cm,"5,2 M €"
,,,,,,
Stefan Posch,,,,,,
,DC,Real Madrid,8,33,180 cm,"1,7 M €"
,,,,,,
David Alaba,,,,,,
,DC,Freiburg,15,29,185 cm,"6,9 M €"
,,,,,,
Philipp Lienhart,,,,,,
,"DC, DG",Werder Bremen,23,28,187 cm,"13,3 M €"
,,,,,,
Marco Friedl,,,,,,
,DC,Venezia,25,27,195 cm,"1,7 M €"
,,,,,,
Michael Svoboda,,,,,,
,"MD, MC, AG, MO",Borussia Dortmund,9,32,177 cm,5 M €
,,,,,,
Marcel Sabitzer,,,,,,
,"MD, MO, MC, MD",PSV Eindhoven,24,20,185 cm,"22,5 M €"
,,,,,,
Paul Wanner,,,,,,
,"MD, MC",Wolfsberger AC,26,32,178 cm,"393,3 k €"
,,,,,,
Alessandro Schöpf,,,,,,
,"MC, MD",RB Leipzig,4,28,174 cm,"5,9 M €"
,,,,,,
Xaver Schlager,,,,,,
,"MC, MD, DC",RB Leipzig,6,25,179 cm,"22,9 M €"
,,,,,,
Nicolas Seiwald,,,,,,
,"MC, MD",Braga,10,30,187 cm,"1,4 M €"
,,,,,,
Florian Grillitsch,,,,,,
,"MC, MO, AD",RB Leipzig,19,26,178 cm,"16,6 M €"
,,,,,,
Christoph BaumgartnerBlessure à la cuisse - Début juillet 2026,,,,,,
,"MG, DLG, DG, DLD",Mainz 05,16,32,168 cm,"1,1 M €"
,,,,,,
Phillipp Mwene,,,,,,
,"MG, AG, AD",Hoffenheim,22,25,180 cm,8 M €
,,,,,,
Alexander Prass,,,,,,
,MO,Borussia Dortmund,17,22,188 cm,"23,9 M €"
,,,,,,
Carney Chukwuemeka,,,,,,
,"MO, AD, MC, AG, MG",Werder Bremen,18,26,167 cm,"14,3 M €"
,,,,,,
Romano Schmid,,,,,,
,"AG, AD, MC, MO",Hoffenheim,21,25,182 cm,"14,7 M €"
,,,,,,
Patrick Wimmer,,,,,,
,ATT,FK Crvena Zvezda,7,37,192 cm,"1,6 M €"
,,,,,,
Marko Arnautovic,,,,,,
,"ATT, MO",Augsburg,11,32,190 cm,"1,4 M €"
,,,,,,
Michael Gregoritsch,,,,,,
,"ATT, MO",LASK,14,28,200 cm,"1,5 M €"
,,,,,,
Sasa Kalajdzic,,,,,,
