joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,France,,62,,
,,,,,,
Rudi Garcia,,,,,,
,GA,Real Madrid,1,34,199 cm,"11,5 M €"
,,,,,,
Thibaut Courtois,,,,,,
,GA,Manchester United,12,23,193 cm,"17,5 M €"
,,,,,,
Senne Lammens,,,,,,
,GA,Strasbourg,13,20,200 cm,"20,6 M €"
,,,,,,
Mike Penders,,,,,,
,DD,Lille,15,34,190 cm,"1,3 M €"
,,,,,,
Thomas Meunier,,,,,,
,"DD, DLD, AD, DG",Fulham,21,30,185 cm,"11,5 M €"
,,,,,,
Timothy Castagne,,,,,,
,DC,Sporting CP,2,22,189 cm,"35,6 M €"
,,,,,,
Zeno DebastBlessure à la jambe - Inconnu,,,,,,
,"DC, DG",Eintracht Frankfurt,3,26,186 cm,"22,7 M €"
,,,,,,
Arthur Theate,,,,,,
,DC,Club Brugge,4,33,188 cm,"2,2 M €"
,,,,,,
Brandon Mechele,,,,,,
,DC,Milan,16,23,188 cm,"23,4 M €"
,,,,,,
Koni De Winter,,,,,,
,DC,Lille,25,22,183 cm,12 M €
,,,,,,
Nathan Ngoy,,,,,,
,"DG, AG, DLG",Brighton & Hove Albion,5,25,183 cm,25 M €
,,,,,,
Maxim De Cuyper,,,,,,
,"DG, DD",Club Brugge,18,21,178 cm,"20,3 M €"
,,,,,,
Joaquin Seys,,,,,,
,"MD, MC",Girona,6,37,186 cm,"1,2 M €"
,,,,,,
Axel Witsel,,,,,,
,"MD, MO, MC",Aston Villa,8,29,177 cm,"39,1 M €"
,,,,,,
Youri Tielemans,,,,,,
,"MD, MC",Rangers,23,25,179 cm,"12,2 M €"
,,,,,,
Nicolas Raskin,,,,,,
,MD,Aston Villa,24,24,195 cm,"51,8 M €"
,,,,,,
Amadou Onana,,,,,,
,"MD, AD, MO",Milan,22,26,180 cm,"22,9 M €"
,,,,,,
Alexis Saelemaekers,,,,,,
,"MO, MC",Napoli,7,34,181 cm,"11,3 M €"
,,,,,,
Kevin De Bruyne,,,,,,
,"MO, ATT, AD, AG",Atalanta,17,25,192 cm,44 M €
,,,,,,
Charles De Ketelaere,,,,,,
,"MO, MC, MD",Club Brugge,20,33,194 cm,"4,7 M €"
,,,,,,
Hans Vanaken,,,,,,
,"AD, DLG, MD, MG, MO, AG",Strasbourg,19,21,179 cm,20 M €
,,,,,,
Diego Moreira,,,,,,
,AD,Benfica,14,28,187 cm,"21,8 M €"
,,,,,,
Dodi Lukébakio,,,,,,
,"AG, ATT, AD",Arsenal,10,31,175 cm,17 M €
,,,,,,
Leandro Trossard,,,,,,
,"AG, AD, MO",Manchester City,11,24,171 cm,"78,1 M €"
,,,,,,
Jérémy Doku,,,,,,
,ATT,Napoli,9,33,190 cm,"10,8 M €"
,,,,,,
Romelu Lukaku,,,,,,
,"ATT, AG, AD",Lille,26,21,183 cm,"26,4 M €"
,,,,,,
Matias Fernandez-Pardo,,,,,,
