joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Bosnie-Herzégovine,,54,188 cm,
,,,,,,
Sergej Barbarez,,,,,,
,GA,St. Pauli,1,30,194 cm,"2,4 M €"
,,,,,,
Nikola Vasilj,,,,,,
,GA,Slaven,12,30,186 cm,710 k €
,,,,,,
Osman HadzikicInconfort physique - Quelques jours,,,,,,
,GA,Rijeka,22,27,190 cm,"1,5 M €"
,,,,,,
Martin Zlomislic,,,,,,
,DD,Benfica,7,23,180 cm,"18,7 M €"
,,,,,,
Amar Dedic,,,,,,
,"DC, DG",Gaziantep FK,2,28,189 cm,"1,1 M €"
,,,,,,
Nihad Mujakic,,,,,,
,DC,Sampdoria,3,27,186 cm,"816,2 k €"
,,,,,,
Dennis Hadzikadunic,,,,,,
,DC,Sassuolo,4,23,187 cm,"16,2 M €"
,,,,,,
Tarik Muharemovic,,,,,,
,"DC, DG",Atalanta,5,32,183 cm,"2,6 M €"
,,,,,,
Sead Kolasinac,,,,,,
,DC,Schalke 04,18,29,194 cm,"1,2 M €"
,,,,,,
Nikola Katic,,,,,,
,DC,Rijeka,21,28,201 cm,"1,4 M €"
,,,,,,
Stjepan Radeljic,,,,,,
,DC,Lens,24,19,192 cm,"4,5 M €"
,,,,,,
Nidal Celik,,,,,,
,"DLD, DD, AD, MD, DC, MG, DLG, AG",Viktoria Plzen,15,25,176 cm,"2,5 M €"
,,,,,,
Amar Memic,,,,,,
,"MD, MC, ATT, MO, MG",Young Boys,8,24,187 cm,"2,4 M €"
,,,,,,
Armin Gigovic,,,,,,
,"MD, MC, MO, DC",Pafos FC,14,29,184 cm,"832,7 k €"
,,,,,,
Ivan Sunjic,,,,,,
,"MD, MO",Hull City,16,29,179 cm,"2,4 M €"
,,,,,,
Amir Hadziahmetovic,,,,,,
,"MC, MD",Brøndby IF,6,23,191 cm,5 M €
,,,,,,
Benjamin Tahirovic,,,,,,
,MC,FC Astana,13,24,178 cm,819 k €
,,,,,,
Ivan Basic,,,,,,
,"MC, DC, DG, MD",Karlsruher SC,17,28,183 cm,"582,5 k €"
,,,,,,
Dzenis Burnic,,,,,,
,"MO, AG",Slovan Liberec,26,21,182 cm,"1,2 M €"
,,,,,,
Ermin Mahmic,,,,,,
,"AD, MD, ATT",PSV Eindhoven,20,21,175 cm,"6,5 M €"
,,,,,,
Esmir Bajraktarevic,,,,,,
,"AG, AD, MG, MO",Salzburg,19,18,185 cm,"13,4 M €"
,,,,,,
Kerim Alajbegovic,,,,,,
,"ATT, MC",Jagiellonia Białystok,9,22,186 cm,"1,3 M €"
,,,,,,
Samed Bazdar,,,,,,
,ATT,VfB Stuttgart,10,28,184 cm,"21,9 M €"
,,,,,,
Ermedin Demirovic,,,,,,
,ATT,Schalke 04,11,40,193 cm,"951,9 k €"
,,,,,,
Edin Dzeko,,,,,,
,ATT,Borussia Mönchengladbach,23,31,196 cm,"2,5 M €"
,,,,,,
Haris TabakovicBlessure musculaire - Mi juin 2026,,,,,,
,ATT,Universitatea Cluj,25,27,190 cm,"799,8 k €"
,,,,,,
Jovo Lukic,,,,,,
