joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Italie,,66,,
,,,,,,
Carlo Ancelotti,,,,,,
,GA,Liverpool,1,33,193 cm,"13,5 M €"
,,,,,,
Alisson Becker,,,,,,
,GA,Gremio,12,38,189 cm,"838,9 k €"
,,,,,,
Weverton,,,,,,
,GA,Fenerbahçe,23,32,188 cm,"13,7 M €"
,,,,,,
Ederson,,,,,,
,DC,Arsenal,3,28,190 cm,"79,6 M €"
,,,,,,
Gabriel,,,,,,
,DC,Paris Saint-Germain,4,32,183 cm,"28,3 M €"
,,,,,,
Marquinhos,,,,,,
,DC,Flamengo,13,34,184 cm,"1,6 M €"
,,,,,,
Danilo,,,,,,
,DC,Juventus,14,29,188 cm,"43,7 M €"
,,,,,,
Gleison Bremer,,,,,,
,DC,Flamengo,15,30,186 cm,"8,4 M €"
,,,,,,
Léo Pereira,,,,,,
,DC,Al Ahli,24,27,185 cm,"12,2 M €"
,,,,,,
Ibañez,,,,,,
,DG,Flamengo,6,35,180 cm,"1,1 M €"
,,,,,,
Alex Sandro,,,,,,
,"DG, DC",Zenit St. Petersburg,16,32,176 cm,"5,5 M €"
,,,,,,
Douglas Santos,,,,,,
,"DLG, DLD, DD, MG",Roma,2,22,178 cm,"32,6 M €"
,,,,,,
Wesley,,,,,,
,"MD, MC",Manchester United,5,34,185 cm,"6,4 M €"
,,,,,,
Casemiro,,,,,,
,"MD, MC, DC",Al Ittihad,17,32,188 cm,"8,7 M €"
,,,,,,
Fabinho,,,,,,
,"MD, MC, MO",Botafogo RJ,18,25,176 cm,"24,7 M €"
,,,,,,
Danilo,,,,,,
,"MC, MD",Newcastle United,8,28,182 cm,"70,1 M €"
,,,,,,
Bruno Guimarães,,,,,,
,"MO, AD, MC, MD, ATT",Flamengo,20,28,180 cm,"50,2 M €"
,,,,,,
Lucas Paquetá,,,,,,
,"AD, ATT",Lyon,19,19,173 cm,"39,1 M €"
,,,,,,
Endrick,,,,,,
,"AD, AG, ATT, MO",Zenit St. Petersburg,21,25,182 cm,"22,7 M €"
,,,,,,
Luiz Henrique,,,,,,
,"AD, ATT",AFC Bournemouth,26,19,186 cm,"24,6 M €"
,,,,,,
Rayan,,,,,,
,"AG, ATT, MG",Real Madrid,7,25,177 cm,"100,5 M €"
,,,,,,
Vinícius Júnior,,,,,,
,"AG, MO, ATT",Manchester United,9,27,184 cm,"72,1 M €"
,,,,,,
Matheus Cunha,,,,,,
,"AG, AD, MO",Barcelona,11,29,176 cm,"69,6 M €"
,,,,,,
Raphinha,,,,,,
,AG,Arsenal,22,24,180 cm,"49,7 M €"
,,,,,,
Gabriel Martinelli,,,,,,
,"ATT, MO, AG",Santos FC,10,34,175 cm,"4,5 M €"
,,,,,,
NeymarBlessure au mollet - Mi juin 2026,,,,,,
,ATT,Brentford,25,24,191 cm,"31,6 M €"
,,,,,,
Igor Thiago,,,,,,
