joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,États-Unis,,52,,
,,,,,,
Jesse Marsch,,,,,,
,GA,Inter Miami CF,1,29,191 cm,"1,7 M €"
,,,,,,
Dayne St. Clair,,,,,,
,GA,Orlando City,16,32,185 cm,1 M €
,,,,,,
Maxime Crépeau,,,,,,
,GA,Barnsley,18,22,193 cm,"654,3 k €"
,,,,,,
Owen Goodman,,,,,,
,DD,Celtic,2,27,180 cm,"8,3 M €"
,,,,,,
Alistair Johnston,,,,,,
,"DD, MD",Hajduk Split,23,22,180 cm,"3,1 M €"
,,,,,,
Niko Sigur,,,,,,
,DC,Middlesbrough,3,28,191 cm,"3,5 M €"
,,,,,,
Alfie Jones,,,,,,
,DC,FCV Dender EH,4,20,178 cm,"1,7 M €"
,,,,,,
Luc De Fougerolles,,,,,,
,"DC, MD, DD",Chicago Fire FC,5,30,188 cm,"1,5 M €"
,,,,,,
Joel Waterman,,,,,,
,DC,Rangers,13,28,187 cm,"2,9 M €"
,,,,,,
Derek Cornelius,,,,,,
,DC,Nice,15,26,191 cm,"1,2 M €"
,,,,,,
Moïse Bombito,,,,,,
,DG,Bayern München,19,25,183 cm,"45,3 M €"
,,,,,,
Alphonso DaviesBlessure musculaire - Mi juin 2026,,,,,,
,"DG, DD, DC, MD, MD",Toronto FC,22,31,175 cm,481 k €
,,,,,,
Richie Laryea,,,,,,
,"MD, MC, MO, MG",Toronto FC,21,33,175 cm,"507,7 k €"
,,,,,,
Jonathan Osorio,,,,,,
,"MD, MC",Anderlecht,25,22,173 cm,"6,4 M €"
,,,,,,
Nathan Saliba,,,,,,
,"MC, MD",Los Angeles FC,6,27,175 cm,"518,5 k €"
,,,,,,
Mathieu Choinière,,,,,,
,"MC, MD",Los Angeles FC,7,29,178 cm,"5,4 M €"
,,,,,,
Stephen Eustaquio,,,,,,
,"MC, MD",Sassuolo,8,23,188 cm,19 M €
,,,,,,
Ismaël Koné,,,,,,
,"MD, MG, AD",Villarreal,17,27,183 cm,"12,8 M €"
,,,,,,
Tajon Buchanan,,,,,,
,"AG, MO, MG, DLG",Hull City,11,26,185 cm,"1,4 M €"
,,,,,,
Liam Millar,,,,,,
,"AG, MD, AD, DLG",Los Angeles FC,14,26,178 cm,"1,6 M €"
,,,,,,
Jacob Shaffelburg,,,,,,
,"AG, MG",Norwich City,20,25,180 cm,2 M €
,,,,,,
Ali Ahmed,,,,,,
,"AG, MG",Tigres,26,22,171 cm,"1,1 M €"
,,,,,,
Marcelo FloresBlessé - Inconnu,,,,,,
,"ATT, MO",Southampton,9,31,187 cm,"2,1 M €"
,,,,,,
Cyle Larin,,,,,,
,"ATT, MO",Juventus,10,26,175 cm,"36,5 M €"
,,,,,,
Jonathan David,,,,,,
,"ATT, MD",Villarreal,12,26,188 cm,"8,8 M €"
,,,,,,
Tani Oluwaseyi,,,,,,
,"ATT, MO",Union St.Gilloise,24,24,196 cm,"16,8 M €"
,,,,,,
Promise DavidBlessure musculaire - D'un jour à l'autre,,,,,,
