joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Cap-Vert,,56,,
,,,,,,
Bubista,,,,,,
,GA,Chaves,1,40,188 cm,"149,8 k €"
,,,,,,
Vozinha,,,,,,
,GA,Montana,12,29,186 cm,230 k €
,,,,,,
Márcio,,,,,,
,GA,San Diego FC,23,25,194 cm,"815,1 k €"
,,,,,,
Carlos Dos Santos,,,,,,
,"DD, DLD, DC",Trabzonspor,24,23,180 cm,"8,3 M €"
,,,,,,
Wagner Pina,,,,,,
,DC,Torreense,2,38,180 cm,"216,7 k €"
,,,,,,
Stopira,,,,,,
,DC,Al Bataeh,3,31,185 cm,"1,3 M €"
,,,,,,
Diney Borges,,,,,,
,DC,Shamrock Rovers,4,33,174 cm,50 k €
,,,,,,
Roberto Lopes,,,,,,
,DC,Villarreal,5,25,188 cm,"19,4 M €"
,,,,,,
Logan Costa,,,,,,
,"DC, DD",Columbus Crew,22,31,178 cm,"707,5 k €"
,,,,,,
Steven Moreira,,,,,,
,DC,SJK,25,26,193 cm,"166,4 k €"
,,,,,,
Kelvin Pires,,,,,,
,"DG, MD, MC",FCSB,8,28,180 cm,"395,8 k €"
,,,,,,
João Paulo,,,,,,
,"MD, MC",FC Krasnodar,6,29,190 cm,"2,5 M €"
,,,,,,
Kevin Pina,,,,,,
,"MD, MC, MO",Ludogorets Razgrad,14,26,184 cm,"1,1 M €"
,,,,,,
Deroy Duarte,,,,,,
,"MD, MC, MO, AD",Puskas FC Academy,15,29,180 cm,818 k €
,,,,,,
Laros Duarte,,,,,,
,"MC, MD, AD",PEC Zwolle,10,32,175 cm,"389,4 k €"
,,,,,,
Jamiro Monteiro,,,,,,
,"MC, MD, MO",Farense,16,30,171 cm,350 k €
,,,,,,
Yannick Semedo,,,,,,
,"MD, DG, DLD, AG, MG",Trabzonspor,13,23,170 cm,"1,3 M €"
,,,,,,
Sidny Lopes Cabral,,,,,,
,"AD, ATT",Akron Togliatti,9,24,177 cm,950 k €
,,,,,,
Gilson Tavares,,,,,,
,"AD, AG, MO, MG",Apollon Limassol,11,35,173 cm,"260,9 k €"
,,,,,,
Garry Rodrigues,,,,,,
,"AD, MO, MD",Vitoria de Guimaraes,18,24,180 cm,"1,9 M €"
,,,,,,
Telmo Arcanjo,,,,,,
,"AD, AG, MO, MD, ATT",Igdir FK,20,36,178 cm,"118,5 k €"
,,,,,,
Ryan Mendes,,,,,,
,"AG, MC, MO",Estrela da Amadora,7,27,176 cm,"484,4 k €"
,,,,,,
Jovane Cabral,,,,,,
,"AG, MG, AD",Omonia Nicosia,17,32,185 cm,"590,2 k €"
,,,,,,
Willy Semedo,,,,,,
,"AG, MG",Maccabi Tel Aviv,26,24,176 cm,"1,1 M €"
,,,,,,
Hélio Varela,,,,,,
,"ATT, AG",Casa Pia AC,19,25,185 cm,998 k €
,,,,,,
Dailon Livramento,,,,,,
,"ATT, AG",Başakşehir,21,35,184 cm,519 k €
,,,,,,
Nuno da Costa,,,,,,
