joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Argentine,,60,,
,,,,,,
Néstor Lorenzo,,,,,,
,GA,Atletico Nacional,1,37,183 cm,250 k €
,,,,,,
David Ospina,,,,,,
,GA,Atlas,12,37,185 cm,"588,7 k €"
,,,,,,
Camilo Vargas,,,,,,
,GA,Velez Sarsfield,24,31,196 cm,"1,5 M €"
,,,,,,
Álvaro Montero,,,,,,
,DD,Independiente,4,34,178 cm,"1,1 M €"
,,,,,,
Santiago Arias,,,,,,
,DC,Bologna,3,27,185 cm,"19,4 M €"
,,,,,,
Jhon Lucumí,,,,,,
,DC,Cagliari,13,31,195 cm,"2,4 M €"
,,,,,,
Yerry Mina,,,,,,
,DC,Cruz Azul,18,29,180 cm,"5,9 M €"
,,,,,,
Willer Ditta,,,,,,
,"DC, DD",Galatasaray,23,29,187 cm,"16,9 M €"
,,,,,,
Davinson Sánchez,,,,,,
,"DG, DLG",Mallorca,17,33,185 cm,"1,5 M €"
,,,,,,
Johan Mojica,,,,,,
,"DG, MG, DLG",Nantes,22,32,172 cm,"1,6 M €"
,,,,,,
Deiver Machado,,,,,,
,"DLD, MD, DD",Crystal Palace,2,30,183 cm,30 M €
,,,,,,
Daniel Muñoz,,,,,,
,"MD, MC",Benfica,6,26,180 cm,"22,5 M €"
,,,,,,
Richard Ríos,,,,,,
,MD,Racing Santander,14,22,173 cm,"5,9 M €"
,,,,,,
Gustavo Puerta,,,,,,
,"MD, MC",Athletico Paranaense,15,27,183 cm,3 M €
,,,,,,
Juan Portilla,,,,,,
,"MD, DC, MC",Crystal Palace,16,31,179 cm,"5,3 M €"
,,,,,,
Jefferson Lerma,,,,,,
,"MC, MD",River Plate,5,25,177 cm,7 M €
,,,,,,
Kevin Castaño,,,,,,
,"MO, AD, ATT",Minnesota United,10,34,180 cm,"965,6 k €"
,,,,,,
James Rodríguez,,,,,,
,"MO, AD, MD",River Plate,20,33,168 cm,"1,2 M €"
,,,,,,
Juan Quintero,,,,,,
,"AD, MO, AG, MD",Flamengo,8,28,168 cm,"8,5 M €"
,,,,,,
Jorge Carrascal,,,,,,
,"AD, AG, MC, ATT, MO, MD, MG",Palmeiras,11,28,168 cm,"15,9 M €"
,,,,,,
Jhon Arias,,,,,,
,AG,Bayern München,7,29,180 cm,"89,2 M €"
,,,,,,
Luis Díaz,,,,,,
,"AG, MG, MO",Rosario Central,21,26,168 cm,"3,3 M €"
,,,,,,
Jaminton Campaz,,,,,,
,"AG, AD",Vasco da Gama,26,23,181 cm,"8,5 M €"
,,,,,,
Andrés Gómez,,,,,,
,ATT,FC Krasnodar,9,33,188 cm,"9,1 M €"
,,,,,,
Jhon CórdobaBlessure au genou - Inconnu,,,,,,
,ATT,Real Betis,19,27,176 cm,"19,5 M €"
,,,,,,
Juan Hernández,,,,,,
,ATT,Sporting CP,25,28,185 cm,"27,6 M €"
,,,,,,
Luis Suárez,,,,,,
