joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Corée du Sud,,57,,
,,,,,,
Myung-Bo Hong,,,,,,
,GA,FC Tokyo,1,35,187 cm,"428,1 k €"
,,,,,,
Seung-Gyu Kim,,,,,,
,GA,Jeonbuk Hyundai Motors FC,12,28,194 cm,"802,3 k €"
,,,,,,
Bum-Keun Song,,,,,,
,GA,Ulsan HD FC,21,34,189 cm,"348,1 k €"
,,,,,,
Hyeon-Woo Jo,,,,,,
,"DD, DLD",Daejeon Hana Citizen,15,30,172 cm,"703,6 k €"
,,,,,,
Moon-Hwan Kim,,,,,,
,"DD, DLD, DG, MO",FK Crvena Zvezda,22,27,180 cm,"4,8 M €"
,,,,,,
Young-Woo Seol,,,,,,
,DC,FC Midtjylland,2,23,188 cm,"1,9 M €"
,,,,,,
Han-Beom Lee,,,,,,
,"DC, MC, DG",Gangwon FC,3,25,184 cm,"587,2 k €"
,,,,,,
Gi-Hyuk Lee,,,,,,
,DC,Bayern München,4,29,188 cm,"28,3 M €"
,,,,,,
Min-Jae Kim,,,,,,
,DC,Kashima Antlers,5,25,186 cm,750 k €
,,,,,,
Tae-Hyeon Kim,,,,,,
,DC,Jeonbuk Hyundai Motors FC,14,24,189 cm,600 k €
,,,,,,
Wi-Je Cho,,,,,,
,"DLG, MG, DG",Austria Wien,13,23,174 cm,"1,5 M €"
,,,,,,
Tae-Seok Lee,,,,,,
,"DLG, MG, MC, DLD, MO, MD, AG",Borussia Mönchengladbach,23,22,177 cm,"8,1 M €"
,,,,,,
Jens Castrop,,,,,,
,"MD, MC, MO",Feyenoord,6,29,177 cm,"6,7 M €"
,,,,,,
In-Beom HwangBlessure à la cheville - Inconnu,,,,,,
,"MD, MC, MO",Birmingham City,8,29,180 cm,"1,7 M €"
,,,,,,
Seung-Ho Paik,,,,,,
,"MD, DC",Zhejiang Professional,16,30,184 cm,"736,1 k €"
,,,,,,
Jin-Seob Park,,,,,,
,"MC, MO, MG, AG, ATT, MD",Mainz 05,10,33,180 cm,"1,5 M €"
,,,,,,
Jae-Sung Lee,,,,,,
,"MO, MC, AD",Stoke City,17,22,180 cm,530 k €
,,,,,,
Jun-Ho Bae,,,,,,
,"MO, MD, MC",Jeonbuk Hyundai Motors FC,24,29,177 cm,"624,4 k €"
,,,,,,
Jin-Gyu Kim,,,,,,
,"AD, MC, MD, MO, ATT",Paris Saint-Germain,19,25,173 cm,"30,7 M €"
,,,,,,
Kang-In Lee,,,,,,
,"AD, AG, DLD, MD",Celtic,20,24,179 cm,"3,2 M €"
,,,,,,
Hyun-Jun Yang,,,,,,
,"AG, MG, AD",Swansea City,25,24,174 cm,"1,9 M €"
,,,,,,
Ji-Sung Eom,,,,,,
,"ATT, MO, AG",Los Angeles FC,7,33,184 cm,"10,4 M €"
,,,,,,
Heung-Min Son,,,,,,
,"ATT, MO, MC",FC Midtjylland,9,28,188 cm,"2,3 M €"
,,,,,,
Gue-Sung Cho,,,,,,
,"ATT, AG, MO",Wolverhampton Wanderers,11,30,177 cm,"9,7 M €"
,,,,,,
Hee-Chan Hwang,,,,,,
,ATT,Beşiktaş,18,25,183 cm,11 M €
,,,,,,
Hyun-Gyu Oh,,,,,,
,"ATT, MO, MD, AD",Ulsan HD FC,26,28,175 cm,"854,2 k €"
,,,,,,
Dong-Gyeong Lee,,,,,,
