joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Croatie,,59,,
,,,,,,
Zlatko Dalic,,,,,,
,GA,Dinamo Zagreb,1,31,188 cm,"3,9 M €"
,,,,,,
Dominik Livakovic,,,,,,
,GA,Hull City,12,26,187 cm,"2,7 M €"
,,,,,,
Ivor Pandur,,,,,,
,GA,FC København,23,26,186 cm,"7,9 M €"
,,,,,,
Dominik Kotarski,,,,,,
,"DD, DG, DC, DLD",Bayern München,2,26,186 cm,"39,8 M €"
,,,,,,
Josip Stanisic,,,,,,
,DC,Fiorentina,3,28,189 cm,"11,4 M €"
,,,,,,
Marin Pongracic,,,,,,
,"DC, DG",Manchester City,4,24,185 cm,"75,8 M €"
,,,,,,
Josko Gvardiol,,,,,,
,DC,Real Sociedad,5,29,186 cm,"2,3 M €"
,,,,,,
Duje Caleta-Car,,,,,,
,DC,Ajax,6,26,190 cm,"16,8 M €"
,,,,,,
Josip Sutalo,,,,,,
,DC,Hamburger SV,22,19,193 cm,"32,2 M €"
,,,,,,
Luka Vuskovic,,,,,,
,DC,FC Midtjylland,25,28,192 cm,"2,4 M €"
,,,,,,
Martin Erlic,,,,,,
,"MD, MC",Bologna,7,28,183 cm,6 M €
,,,,,,
Nikola Moro,,,,,,
,MD,Manchester City,8,32,178 cm,12 M €
,,,,,,
Mateo Kovacic,,,,,,
,"MD, MO, MC, AD",Atalanta,15,31,186 cm,6 M €
,,,,,,
Mario Pasalic,,,,,,
,"MD, DD, DC",Augsburg,18,29,181 cm,"5,7 M €"
,,,,,,
Kristijan Jakic,,,,,,
,"MC, MD",Milan,10,40,174 cm,"2,2 M €"
,,,,,,
Luka Modric,,,,,,
,"MC, MD",Inter,17,22,183 cm,"34,9 M €"
,,,,,,
Petar Sucic,,,,,,
,"MD, AD",Orlando City,24,25,177 cm,"6,6 M €"
,,,,,,
Marco Pasalic,,,,,,
,"MO, AD, MD, MC, ATT",Hoffenheim,9,34,177 cm,"2,4 M €"
,,,,,,
Andrej Kramaric,,,,,,
,"MO, MC, AG, ATT",Torino,13,28,178 cm,"9,1 M €"
,,,,,,
Nikola Vlasic,,,,,,
,"MO, ATT, AG, MC",Rijeka,19,25,174 cm,"8,9 M €"
,,,,,,
Toni Fruk,,,,,,
,"MO, ATT, AD",Real Sociedad,21,23,185 cm,"13,7 M €"
,,,,,,
Luka Sucic,,,,,,
,"AG, AD, DLG, MG, ATT",PSV Eindhoven,14,37,186 cm,"1,2 M €"
,,,,,,
Ivan Perisic,,,,,,
,"AG, MO, MD",Como,16,23,172 cm,24 M €
,,,,,,
Martin Baturina,,,,,,
,ATT,Osasuna,11,34,190 cm,"2,9 M €"
,,,,,,
Ante Budimir,,,,,,
,ATT,Freiburg,20,23,194 cm,"9,7 M €"
,,,,,,
Igor Matanovic,,,,,,
,ATT,FC Dallas,26,28,190 cm,"7,5 M €"
,,,,,,
Petar Musa,,,,,,
