joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Égypte,,59,178 cm,
,,,,,,
Hossam Hassan,,,,,,
,GA,Zamalek SC,16,38,189 cm,"329,1 k €"
,,,,,,
El Mahdy SolimanBlessure musculaire - Mi juin 2026,,,,,,
,GA,Al Ahly SC,23,37,191 cm,"437,6 k €"
,,,,,,
Mohamed El Shenawy,,,,,,
,GA,El Gouna FC,26,27,188 cm,"1,5 M €"
,,,,,,
Mohamed Alaa,,,,,,
,GA,Al Ahly SC,26,26,195 cm,"1,5 M €"
,,,,,,
Mostafa Shobeir,,,,,,
,"DD, DC, DLD",Al Ahly SC,3,30,175 cm,"1,2 M €"
,,,,,,
Mohamed Hany,,,,,,
,DD,ZED FC,24,24,178 cm,"503,8 k €"
,,,,,,
Tarek Alaa,,,,,,
,DC,Zamalek SC,4,25,193 cm,"1,7 M €"
,,,,,,
Hossam Abdelmaguid,,,,,,
,DC,Al-Ain,5,33,183 cm,650 k €
,,,,,,
Ramy Rabia,,,,,,
,DC,Nice,6,27,184 cm,"2,3 M €"
,,,,,,
Mohamed AbdelmonemBlessure musculaire - Inconnu,,,,,,
,DC,Al Ahly SC,6,33,185 cm,"330,5 k €"
,,,,,,
Yasser Ibrahim,,,,,,
,"DG, AG, MD, DLG",Zamalek SC,13,28,177 cm,"1,1 M €"
,,,,,,
Ahmed Fatouh,,,,,,
,"DG, DD, MG",Pyramids FC,15,30,174 cm,"358,4 k €"
,,,,,,
Karim Hafez,,,,,,
,"MD, DC, MC",Al-Wakrah,14,31,180 cm,"1,2 M €"
,,,,,,
Hamdi Fathy,,,,,,
,"MD, MC",Pyramids FC,17,30,186 cm,2 M €
,,,,,,
Mohanad Lasheen,,,,,,
,"MD, MC",Al Ahly SC,19,27,176 cm,"2,3 M €"
,,,,,,
Marwan Attia,,,,,,
,"MC, MD",Al Najma,18,30,179 cm,"550,6 k €"
,,,,,,
Nabil Emad Dunga,,,,,,
,"MC, MO, AG, ATT",ZED FC,27,24,170 cm,"1,1 M €"
,,,,,,
Mahmoud Saber,,,,,,
,"MO, MC, MG, ATT",Al Ahly SC,8,28,180 cm,"2,3 M €"
,,,,,,
Emam Ashour,,,,,,
,"AD, ATT, MO",Liverpool,10,33,175 cm,39 M €
,,,,,,
Mohamed Salah,,,,,,
,"AD, MD, MO",Real Oviedo,12,24,175 cm,"4,3 M €"
,,,,,,
Haissem Hassan,,,,,,
,"AD, MO, ATT, MC",Al Ahly SC,25,30,175 cm,"2,2 M €"
,,,,,,
Zizo,,,,,,
,"AG, MO, AD, MC, MG, ATT",Al Ahly SC,7,31,181 cm,"2,4 M €"
,,,,,,
Trezeguet,,,,,,
,Attaquant,Barca Atletic,9,18,182 cm,
,,,,,,
Hamza Abdelkarim,,,,,,
,"AG, MG",Pyramids FC,11,29,179 cm,140 k €
,,,,,,
Mostafa Zico,,,,,,
,"AG, MO, ATT",Nordsjælland,20,25,178 cm,2 M €
,,,,,,
Ibrahim Adel,,,,,,
,"ATT, AG",Manchester City,22,27,180 cm,"61,1 M €"
,,,,,,
Omar Marmoush,,,,,,
