joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Argentine,,45,,
,,,,,,
Sebastián Beccacece,,,,,,
,GA,Huracan,1,39,189 cm,1 M €
,,,,,,
Hernán Galindez,,,,,,
,GA,Kifisia FC,12,25,185 cm,850 k €
,,,,,,
Moisés Ramirez,,,,,,
,GA,LDU de Quito,22,30,185 cm,"1,1 M €"
,,,,,,
Gonzalo Valle,,,,,,
,"DC, DD",Internacional,2,29,187 cm,"1,4 M €"
,,,,,,
Félix Torres,,,,,,
,"DC, DD",Club Brugge,4,22,185 cm,"41,1 M €"
,,,,,,
Joel Ordóñez,,,,,,
,DC,Paris Saint-Germain,6,24,188 cm,"75,4 M €"
,,,,,,
Willian Pacho,,,,,,
,DC,Tijuana,25,25,191 cm,"1,8 M €"
,,,,,,
Jackson Porozo,,,,,,
,"DG, DC",Arsenal,3,24,184 cm,"63,1 M €"
,,,,,,
Piero Hincapié,,,,,,
,"DG, AG",Genk,24,21,178 cm,5 M €
,,,,,,
Yaimar Medina,,,,,,
,"MD, MC, MO",Independiente del Valle,5,26,173 cm,"1,2 M €"
,,,,,,
Jordy Alcívar,,,,,,
,"MD, MC, DD, MD, DLD, DC",Atletico MG,21,27,175 cm,"2,8 M €"
,,,,,,
Alan Franco,,,,,,
,"MD, MC",Chelsea,23,24,178 cm,"115,3 M €"
,,,,,,
Moisés Caicedo,,,,,,
,"MC, MD, AD, MO, MD",Pumas,15,24,170 cm,"8,3 M €"
,,,,,,
Pedro Vite,,,,,,
,"MC, MD, MO, ATT, AD",FC Midtjylland,18,22,189 cm,"5,5 M €"
,,,,,,
Denil Castillo,,,,,,
,"MD, DD, AD, DLD",Atletico MG,17,28,173 cm,"2,4 M €"
,,,,,,
Ángelo Preciado,,,,,,
,"MG, DG, DLG",Milan,7,28,175 cm,"18,1 M €"
,,,,,,
Pervis Estupinán,,,,,,
,"MO, DLD",Royal Antwerp,8,22,174 cm,951 k €
,,,,,,
Anthony Valencia,,,,,,
,"AD, MO, ATT",River Plate,10,19,177 cm,"11,9 M €"
,,,,,,
Kendry Páez,,,,,,
,"AD, ATT, MO, AG",Flamengo,19,25,178 cm,"9,2 M €"
,,,,,,
Gonzalo Plata,,,,,,
,"AG, MG, AD, MD, DLG",Sunderland,20,22,182 cm,"7,5 M €"
,,,,,,
Nilson Angulo,,,,,,
,"ATT, AD, MO, MD",Venezia,9,25,170 cm,"2,6 M €"
,,,,,,
John Yeboah,,,,,,
,"ATT, MO",Union St.Gilloise,11,26,190 cm,"3,4 M €"
,,,,,,
Kevin Rodríguez,,,,,,
,ATT,Pachuca,13,36,177 cm,"1,3 M €"
,,,,,,
Enner Valencia,,,,,,
,"ATT, MO, AG",Atletico MG,14,23,171 cm,"3,7 M €"
,,,,,,
Alan Minda,,,,,,
,ATT,Huracan,16,28,181 cm,"931,7 k €"
,,,,,,
Jordy Caicedo,,,,,,
,"ATT, MO",VfB Stuttgart II,26,21,173 cm,"2,6 M €"
,,,,,,
Jeremy Arévalo,,,,,,
