joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Écosse,,62,,
,,,,,,
Steve Clarke,,,,,,
,GA,Nottingham Forest,1,30,196 cm,"1,2 M €"
,,,,,,
Angus Gunn,,,,,,
,GA,Rangers,12,30,189 cm,"410,7 k €"
,,,,,,
Liam Kelly,,,,,,
,GA,Hearts,21,43,193 cm,"254,4 k €"
,,,,,,
Craig Gordon,,,,,,
,"DD, DG",Brentford,2,23,185 cm,"20,1 M €"
,,,,,,
Aaron Hickey,,,,,,
,DD,Everton,22,24,189 cm,"12,6 M €"
,,,,,,
Nathan Patterson,,,,,,
,"DD, DC",Celtic,24,27,178 cm,"928,7 k €"
,,,,,,
Anthony Ralston,,,,,,
,DC,Hibernian,5,34,188 cm,"333,9 k €"
,,,,,,
Grant Hanley,,,,,,
,DC,Al-Ettifaq,13,31,175 cm,"1,3 M €"
,,,,,,
Jack Hendry,,,,,,
,DC,Rangers,15,29,186 cm,"1,6 M €"
,,,,,,
John Souttar,,,,,,
,DC,Wrexham,16,30,188 cm,"1,8 M €"
,,,,,,
Dominic Hyam,,,,,,
,DC,Dinamo Zagreb,26,29,188 cm,"2,3 M €"
,,,,,,
Scott McKenna,,,,,,
,"DG, DC",Liverpool,3,32,178 cm,"10,3 M €"
,,,,,,
Andrew Robertson,,,,,,
,"DG, DC",Celtic,6,29,178 cm,"4,8 M €"
,,,,,,
Kieran Tierney,,,,,,
,"MD, AG, MO, MC",Napoli,4,29,193 cm,"44,9 M €"
,,,,,,
Scott McTominay,,,,,,
,"MD, MC, MO",Manchester United U21,8,19,183 cm,90 k €
,,,,,,
Tyler Fletcher,,,,,,
,"MD, MO",AFC Bournemouth,11,31,178 cm,"9,4 M €"
,,,,,,
Ryan Christie,,,,,,
,"MD, MC, MO, MD",Bologna,19,26,181 cm,"19,2 M €"
,,,,,,
Lewis Ferguson,,,,,,
,"MD, MC, DG, AD",Norwich City,23,34,183 cm,"579,5 k €"
,,,,,,
Kenny McLean,,,,,,
,"AD, MD, MO, AG, MC, MD",Aston Villa,7,31,175 cm,"17,6 M €"
,,,,,,
John McGinn,,,,,,
,AD,AFC Bournemouth,17,20,176 cm,"21,5 M €"
,,,,,,
Ben Gannon-Doak,,,,,,
,"AG, MD, MO, MG, DD, MD",Rangers,25,19,180 cm,"1,5 M €"
,,,,,,
Findlay Curtis,,,,,,
,ATT,Charlton Athletic,9,30,188 cm,"831,4 k €"
,,,,,,
Lyndon Dykes,,,,,,
,"ATT, MO",Torino,10,29,178 cm,9 M €
,,,,,,
Ché Adams,,,,,,
,ATT,Southampton,14,29,188 cm,"1,6 M €"
,,,,,,
Ross Stewart,,,,,,
,ATT,Ipswich Town,18,27,191 cm,"8,9 M €"
,,,,,,
George Hirst,,,,,,
,ATT,Hearts,20,30,185 cm,"2,2 M €"
,,,,,,
Lawrence Shankland,,,,,,
