joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Espagne,,64,,
,,,,,,
Luis de la Fuente,,,,,,
,GA,Arsenal,1,30,183 cm,"30,5 M €"
,,,,,,
David Raya,,,,,,
,GA,Barcelona,13,25,193 cm,"31,9 M €"
,,,,,,
Joan García,,,,,,
,GA,Athletic Club,23,28,190 cm,"25,5 M €"
,,,,,,
Unai Simón,,,,,,
,"DD, MC, MD, DC",Atletico Madrid,5,31,180 cm,"18,5 M €"
,,,,,,
Marcos Llorente,,,,,,
,"DD, MD, DLD",Tottenham Hotspur,12,26,176 cm,50 M €
,,,,,,
Pedro Porro,,,,,,
,"DC, DD",Atletico Madrid,2,22,190 cm,"22,3 M €"
,,,,,,
Marc Pubill,,,,,,
,"DC, DD, MD",Barcelona,4,25,182 cm,27 M €
,,,,,,
Eric García,,,,,,
,DC,Athletic Club,14,32,191 cm,7 M €
,,,,,,
Aymeric Laporte,,,,,,
,DC,Barcelona,22,19,184 cm,134 M €
,,,,,,
Pau Cubarsí,,,,,,
,"DG, DLG",Chelsea,24,27,177 cm,"45,9 M €"
,,,,,,
Marc Cucurella,,,,,,
,"DLG, DG, MG",Bayer Leverkusen,3,30,171 cm,"26,2 M €"
,,,,,,
Alejandro Grimaldo,,,,,,
,"MD, AG",Barcelona,9,21,173 cm,"39,7 M €"
,,,,,,
Gavi,,,,,,
,"MD, MC",Manchester City,16,29,190 cm,"73,1 M €"
,,,,,,
Rodri,,,,,,
,"MD, MC",Barcelona,20,23,174 cm,"106,9 M €"
,,,,,,
Pedri,,,,,,
,"MC, ATT, MD",Arsenal,6,29,187 cm,"33,4 M €"
,,,,,,
Mikel Merino,,,,,,
,MC,Paris Saint-Germain,8,30,189 cm,"33,3 M €"
,,,,,,
Fabián Ruiz,,,,,,
,"MC, MD",Arsenal,18,27,180 cm,77 M €
,,,,,,
Martín Zubimendi,,,,,,
,"MG, AG, MC, MO, ATT, MD",Atletico Madrid,15,24,174 cm,"45,5 M €"
,,,,,,
Álex Baena,,,,,,
,"MO, MC, AG",Barcelona,10,28,180 cm,"55,7 M €"
,,,,,,
Dani Olmo,,,,,,
,"MO, AG, MD, MG, AD",Crystal Palace,11,23,172 cm,"49,1 M €"
,,,,,,
Yéremi Pino,,,,,,
,AD,Barcelona,19,18,180 cm,"191,2 M €"
,,,,,,
Lamine YamalBlessure à la cuisse - Mi juin 2026,,,,,,
,"AG, MG",Athletic Club,17,23,181 cm,"57,9 M €"
,,,,,,
Nico Williams,,,,,,
,"AG, AD, ATT, MO, MG",Osasuna,25,22,173 cm,80 k €
,,,,,,
Víctor Muñoz,,,,,,
,"ATT, AG, AD",Barcelona,7,26,184 cm,"46,9 M €"
,,,,,,
Ferran Torres,,,,,,
,ATT,Real Sociedad,21,29,180 cm,"34,4 M €"
,,,,,,
Mikel Oyarzabal,,,,,,
,ATT,Celta Vigo,26,33,187 cm,"2,4 M €"
,,,,,,
Borja Iglesias,,,,,,
