joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,France,,57,,
,,,,,,
Didier Deschamps,,,,,,
,GA,Rennes,1,32,186 cm,"6,3 M €"
,,,,,,
Brice Samba,,,,,,
,GA,Milan,16,30,191 cm,"22,2 M €"
,,,,,,
Mike Maignan,,,,,,
,GA,Lens,23,21,193 cm,"12,5 M €"
,,,,,,
Robin Risser,,,,,,
,"DD, DG, MD, DLD",Chelsea,2,23,179 cm,"45,9 M €"
,,,,,,
Malo Gusto,,,,,,
,DD,Barcelona,5,27,180 cm,"63,9 M €"
,,,,,,
Jules Koundé,,,,,,
,DC,Bayern München,4,27,185 cm,"38,9 M €"
,,,,,,
Dayot Upamecano,,,,,,
,DC,Liverpool,15,27,192 cm,32 M €
,,,,,,
Ibrahima Konaté,,,,,,
,DC,Arsenal,17,25,193 cm,"97,4 M €"
,,,,,,
William Saliba,,,,,,
,DC,Crystal Palace,26,26,190 cm,"51,6 M €"
,,,,,,
Maxence Lacroix,,,,,,
,DG,Aston Villa,3,32,178 cm,"9,9 M €"
,,,,,,
Lucas Digne,,,,,,
,"DG, DLG, MG, AG",Al Hilal,19,28,184 cm,"28,4 M €"
,,,,,,
Theo Hernández,,,,,,
,"DG, DC",Paris Saint-Germain,21,30,183 cm,"20,7 M €"
,,,,,,
Lucas Hernández,,,,,,
,"MD, MC",Roma,6,25,185 cm,55 M €
,,,,,,
Kouadio Koné,,,,,,
,"MD, MC",Fenerbahçe,13,35,168 cm,"1,9 M €"
,,,,,,
N'Golo Kanté,,,,,,
,"MC, MD, DC",Real Madrid,8,26,185 cm,"70,2 M €"
,,,,,,
Aurélien Tchouaméni,,,,,,
,"MC, MD",Milan,14,31,191 cm,"19,6 M €"
,,,,,,
Adrien Rabiot,,,,,,
,"MC, DD, MD",Paris Saint-Germain,18,20,178 cm,"88,1 M €"
,,,,,,
Warren Zaïre-Emery,,,,,,
,"MO, AD, AG",Manchester City,24,22,177 cm,"70,7 M €"
,,,,,,
Rayan Cherki,,,,,,
,"AD, MO, MD",Bayern München,11,24,184 cm,"170,6 M €"
,,,,,,
Michael Olise,,,,,,
,"AD, AG, ATT, MC",Paris Saint-Germain,20,21,178 cm,"99,7 M €"
,,,,,,
Désiré Doué,,,,,,
,"AD, MO, MD, ATT",Monaco,25,24,175 cm,"54,4 M €"
,,,,,,
Maghnes Akliouche,,,,,,
,"AG, AD, ATT",Paris Saint-Germain,12,23,182 cm,"70,7 M €"
,,,,,,
Bradley Barcola,,,,,,
,"ATT, AD",Paris Saint-Germain,7,29,178 cm,"95,8 M €"
,,,,,,
Ousmane Dembélé,,,,,,
,ATT,Inter,9,28,188 cm,"54,2 M €"
,,,,,,
Marcus Thuram,,,,,,
,"ATT, AG",Real Madrid,10,27,178 cm,"112,9 M €"
,,,,,,
Kylian Mbappé,,,,,,
,ATT,Crystal Palace,22,28,192 cm,40 M €
,,,,,,
Jean-Philippe Mateta,,,,,,
