joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Portugal,,73,,
,,,,,,
Carlos Queiroz,,,,,,
,GA,St. Gallen,1,29,188 cm,"1,1 M €"
,,,,,,
Lawrence Ati-Zigi,,,,,,
,GA,St. Patrick's Athletic,12,25,183 cm,"79,1 k €"
,,,,,,
Joseph Anang,,,,,,
,GA,Ghana,16,33,188 cm,120 k €
,,,,,,
Benjamin Asare,,,,,,
,"DC, DD",Rennes,2,26,173 cm,"6,5 M €"
,,,,,,
Alidu Seidu,,,,,,
,DC,Wolfsburg,4,22,188 cm,"9,3 M €"
,,,,,,
Jonas Adjetey,,,,,,
,DC,Rayo Vallecano,6,27,188 cm,"2,1 M €"
,,,,,,
Abdul Mumin,,,,,,
,DC,Başakşehir,18,27,195 cm,"3,9 M €"
,,,,,,
Jerome Opoku,,,,,,
,"DC, DD",Nice,21,22,188 cm,"9,1 M €"
,,,,,,
Kojo Peprah Oppong,,,,,,
,DC,Pafos FC,23,30,186 cm,"548,2 k €"
,,,,,,
Derrick Luckassen,,,,,,
,"DC, DD, DLD",Auxerre,26,25,179 cm,"2,6 M €"
,,,,,,
Marvin Senaya,,,,,,
,"DG, DLG, DC, MG",Auxerre,14,27,178 cm,"2,3 M €"
,,,,,,
Gideon Mensah,,,,,,
,DG,PAOK Thessaloniki,17,31,180 cm,1 M €
,,,,,,
Abdul Rahman Baba,,,,,,
,"MD, MC",Real Oviedo,8,27,183 cm,"1,1 M €"
,,,,,,
Kwasi Sibo,,,,,,
,"MC, DC, DD, DLD",Nordsjælland,3,20,182 cm,"5,9 M €"
,,,,,,
Caleb Yirenkyi,,,,,,
,MC,Villarreal,5,32,185 cm,"2,6 M €"
,,,,,,
Thomas Partey,,,,,,
,"MC, MD",Auxerre,15,28,182 cm,"2,6 M €"
,,,,,,
Elisha Owusu,,,,,,
,"MG, AG, DLG",Al Qadsiah,13,21,172 cm,"11,5 M €"
,,,,,,
Christopher Bonsu Baah,,,,,,
,"MO, MD",Atalanta,22,24,175 cm,"20,2 M €"
,,,,,,
Kamaldeen Sulemana,,,,,,
,AD,Leicester City,7,22,177 cm,"24,2 M €"
,,,,,,
Abdul Fatawu,,,,,,
,"AD, AG, MO, ATT",Coventry City,10,27,180 cm,"5,6 M €"
,,,,,,
Brandon Thomas-Asante,,,,,,
,"AD, AG, ATT, MD",Manchester City,11,26,185 cm,"71,1 M €"
,,,,,,
Antoine Semenyo,,,,,,
,"AD, ATT, AG, MD",Athletic Club,19,31,186 cm,"17,3 M €"
,,,,,,
Iñaki Williams,,,,,,
,"AD, MO, AG, MD, ATT, MC",Saint-Etienne,20,25,173 cm,"3,8 M €"
,,,,,,
Augustine Boakye,,,,,,
,AD,Lyon,24,22,178 cm,"15,3 M €"
,,,,,,
Ernest Nuamah,,,,,,
,"ATT, AG",Leicester City,9,34,182 cm,"1,2 M €"
,,,,,,
Jordan Ayew,,,,,,
,"ATT, AG, MO",Viktoria Plzen,25,22,179 cm,"3,6 M €"
,,,,,,
Prince Adu,,,,,,
