joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,France,,53,,
,,,,,,
Sébastien Migné,,,,,,
,GA,SC Bastia,1,38,181 cm,"197,9 k €"
,,,,,,
Johny Placide,,,,,,
,GA,Sochaux,12,25,190 cm,"310,7 k €"
,,,,,,
Alexandre Pierre,,,,,,
,GA,Haïti,23,26,183 cm,30 k €
,,,,,,
Josué Duverger,,,,,,
,"DD, DC",Angers,2,29,180 cm,"1,3 M €"
,,,,,,
Carlens Arcus,,,,,,
,Défenseur,Young Boys II,3,20,179 cm,35 k €
,,,,,,
Keeto Thermoncy,,,,,,
,DC,LDU de Quito,4,36,190 cm,"343,2 k €"
,,,,,,
Ricardo Adé,,,,,,
,DC,Lugano,5,27,185 cm,"1,1 M €"
,,,,,,
Hannes Delcroix,,,,,,
,"DC, MD, MO",El Paso Locomotive FC,6,23,182 cm,"69,4 k €"
,,,,,,
Carl Sainté,,,,,,
,"DC, DD, DLD, MD",Gent,22,28,184 cm,"1,5 M €"
,,,,,,
Jean-Kévin Duverne,,,,,,
,"DG, DC, DD",Colorado Springs Switchbacks FC,13,32,175 cm,50 k €
,,,,,,
Duke Lacroix,,,,,,
,"DLD, MD, DD",Zulte Waregem,24,24,180 cm,"471,1 k €"
,,,,,,
Wilguens Paugain,,,,,,
,"DLG, DG, MG, AG",Nancy,8,27,178 cm,"181,3 k €"
,,,,,,
Martin Expérience,,,,,,
,"MC, MO, AG, MD",Wolverhampton Wanderers,10,27,170 cm,"17,6 M €"
,,,,,,
Jean-Ricner Bellegarde,,,,,,
,"MC, MD",Vizela,14,28,181 cm,"148,2 k €"
,,,,,,
Leverton Pierre,,,,,,
,"MC, MD, MD",Philadelphia Union,17,26,180 cm,"1,9 M €"
,,,,,,
Danley Jean Jacques,,,,,,
,"MC, ATT, MD",Tatran Presov,25,25,179 cm,"143,4 k €"
,,,,,,
Dominique Simon,,,,,,
,MC,Real Hope FA,26,21,175 cm,
,,,,,,
Olivier Pierre,,,,,,
,"MD, AD, DLD, MO",Auxerre,21,24,178 cm,"4,4 M €"
,,,,,,
Josué Casimir,,,,,,
,"AD, MD, DLG",FC Dallas,11,25,178 cm,"1,5 M €"
,,,,,,
Don Deedson Louicius,,,,,,
,"AG, MG, AD",Almere City FC,15,24,178 cm,"277,5 k €"
,,,,,,
Ruben Providence,,,,,,
,"ATT, AG, MG",Toronto FC,7,29,178 cm,"317,3 k €"
,,,,,,
Derrick Etienne,,,,,,
,"ATT, AG",Esteghlal,9,32,181 cm,"585,7 k €"
,,,,,,
Duckens Nazon,,,,,,
,"ATT, MO, AD",Ferencvaros,16,25,183 cm,"1,1 M €"
,,,,,,
Lenny Joseph,,,,,,
,ATT,Sunderland,18,25,180 cm,"21,6 M €"
,,,,,,
Wilson Isidor,,,,,,
,"ATT, AD",Vizela,19,27,185 cm,"300,8 k €"
,,,,,,
Yassin Fortuné,,,,,,
,ATT,Rizespor,20,31,194 cm,"1,4 M €"
,,,,,,
Frantzdy Pierrot,,,,,,
