joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Australie,,62,,
,,,,,,
Graham Arnold,,,,,,
,GA,0,1,31,192 cm,430 k €
,,,,,,
Fahad Talib,,,,,,
,GA,Al Zawraa,12,35,188 cm,350 k €
,,,,,,
Jalal Hassan,,,,,,
,GA,Al Shorta,22,29,185 cm,470 k €
,,,,,,
Ahmed Basil,,,,,,
,DD,Pogoń Szczecin,3,24,182 cm,"384,4 k €"
,,,,,,
Hussein Ali,,,,,,
,DD,Al Shorta,15,25,181 cm,350 k €
,,,,,,
Mustafa Saadoon,,,,,,
,DC,Port FC,2,34,192 cm,"71,3 k €"
,,,,,,
Rebin Sulaka,,,,,,
,DC,Pakhtakor Tashkent,4,25,193 cm,630 k €
,,,,,,
Zaid Tahseen,,,,,,
,DC,Al Zawraa,5,27,184 cm,650 k €
,,,,,,
Akam Hashim,,,,,,
,DC,Al Shorta,9,29,190 cm,400 k €
,,,,,,
Munaf Younus,,,,,,
,"DG, DC, DLG, MG",Viktoria Plzen,23,26,173 cm,"875,7 k €"
,,,,,,
Merchas Doski,,,,,,
,"MD, MC",FC Utrecht,11,23,181 cm,"1,6 M €"
,,,,,,
Zidane Iqbal,,,,,,
,"MD, MC",Sarpsborg 08,20,23,175 cm,"1,3 M €"
,,,,,,
Aimar Sher,,,,,,
,"MC, MD, DG, DD",Persib Bandung,3,32,181 cm,"70,2 k €"
,,,,,,
Frans Putros,,,,,,
,"MC, MD",Cracovia,16,28,184 cm,"782,2 k €"
,,,,,,
Amir Al Ammari,,,,,,
,"MC, MD",AGF,19,25,185 cm,"601,9 k €"
,,,,,,
Kevin Yakob,,,,,,
,MC,Irak,20,24,,430 k €
,,,,,,
Zaid Ismail Al Dulaimi,,,,,,
,"MD, AG, AD",AEK Larnaca,7,22,172 cm,"405,8 k €"
,,,,,,
Youssef Amyn,,,,,,
,"MG, MD, MO, AD, AG, ATT",Al-Dhafra,8,26,183 cm,850 k €
,,,,,,
Ibrahim Bayesh,,,,,,
,"AG, MG, AD, MD, MC",Nashville SC,11,22,183 cm,"3,5 M €"
,,,,,,
Ahmed Qasem,,,,,,
,"AG, MG, MO, ATT, AD",Al Najma,17,22,178 cm,"556,7 k €"
,,,,,,
Ali Jasim,,,,,,
,"AG, AD, MG, ATT",Venezia,21,22,184 cm,"1,6 M €"
,,,,,,
Marko Farji,,,,,,
,ATT,0,7,30,180 cm,130 k €
,,,,,,
Ali Yousif,,,,,,
,ATT,Luton Town,9,24,187 cm,"1,6 M €"
,,,,,,
Ali Al Hamadi,,,,,,
,ATT,Dibba Al Fujairah,10,25,183 cm,"1,5 M €"
,,,,,,
Mohanad Ali,,,,,,
,ATT,0,18,30,189 cm,470 k €
,,,,,,
Aymen Hussein,,,,,,
