joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Iran,,62,,
,,,,,,
Amir Ghalenoei,,,,,,
,GA,Tractor,1,33,194 cm,"167,8 k €"
,,,,,,
Alireza Beiranvand,,,,,,
,GA,Persepolis,12,31,194 cm,"369,7 k €"
,,,,,,
Payam Niazmand,,,,,,
,GA,Sepahan,22,33,187 cm,"287,8 k €"
,,,,,,
Hossein Hosseini,,,,,,
,DD,Esteghlal,2,27,176 cm,"465,9 k €"
,,,,,,
Saleh Hardani,,,,,,
,DD,Sepahan,17,24,181 cm,"1,3 M €"
,,,,,,
Aria Yousefi,,,,,,
,DD,Esteghlal,23,36,184 cm,"78,2 k €"
,,,,,,
Ramin Rezaeian,,,,,,
,DC,Tractor,4,37,180 cm,"68,2 k €"
,,,,,,
Shoja Khalilzadeh,,,,,,
,DC,Persepolis,13,32,188 cm,"996,8 k €"
,,,,,,
Hossein Kanaani,,,,,,
,DC,Foolad Khuzestan,19,30,182 cm,550 k €
,,,,,,
Ali Nemati,,,,,,
,Défenseur,Iran,25,22,182 cm,"1,3 M €"
,,,,,,
Danial Eiri,,,,,,
,DG,Sepahan,3,36,178 cm,"97,4 k €"
,,,,,,
Ehsan Haji Safi,,,,,,
,DG,Persepolis,5,32,178 cm,"403,3 k €"
,,,,,,
Milad Mohammadi,,,,,,
,"MD, MC, DC",Shabab Al-Ahli Dubai FC,6,29,190 cm,"1,5 M €"
,,,,,,
Saeid Ezatolahi,,,,,,
,MD,Esteghlal,26,20,186 cm,1 M €
,,,,,,
Amirmohammad Razaghinia,,,,,,
,MC,Esteghlal,15,32,194 cm,"104,5 k €"
,,,,,,
Roozbeh Cheshmi,,,,,,
,"MC, MD, DC",Al-Wahda,21,25,186 cm,"1,5 M €"
,,,,,,
Mohammad Ghorbani,,,,,,
,MG,Tractor,16,31,180 cm,"599,6 k €"
,,,,,,
Mehdi Torabi,,,,,,
,"MO, MC, AG, MD",Al Ittihad Kalba,14,32,175 cm,"1,3 M €"
,,,,,,
Saman Ghoddos,,,,,,
,"MO, ATT",Standard Liege,24,29,182 cm,"1,7 M €"
,,,,,,
Dennis Eckert,,,,,,
,"AD, AG, MC",FCV Dender EH,7,32,181 cm,"243,2 k €"
,,,,,,
Alireza Jahanbakhsh,,,,,,
,"ATT, AG",FC Rostov,8,27,176 cm,"1,5 M €"
,,,,,,
Mohammad Mohebi,,,,,,
,"ATT, MO",Olympiacos,9,33,185 cm,"1,7 M €"
,,,,,,
Mehdi Taremi,,,,,,
,"ATT, MO, AD",Al-Nasr SC,10,27,166 cm,"4,8 M €"
,,,,,,
Mehdi Ghayedi,,,,,,
,ATT,Persepolis,11,30,181 cm,"558,4 k €"
,,,,,,
Ali Alipour,,,,,,
,"ATT, AD, MG",Tractor,18,25,178 cm,"1,2 M €"
,,,,,,
Amirhossein Hosseinzadeh,,,,,,
,ATT,Al Ittihad Kalba,20,31,190 cm,900 k €
,,,,,,
Shahriar Moghanlou,,,,,,
