joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Japon,,57,,
,,,,,,
Hajime Moriyasu,,,,,,
,GA,Parma,1,23,189 cm,"24,1 M €"
,,,,,,
Zion Suzuki,,,,,,
,GA,Sanfrecce Hiroshima,12,26,186 cm,"1,6 M €"
,,,,,,
Keisuke Osako,,,,,,
,GA,Kashima Antlers,23,27,186 cm,"1,2 M €"
,,,,,,
Tomoki Hayakawa,,,,,,
,"DD, DLD, MD",Werder Bremen,2,25,179 cm,"6,5 M €"
,,,,,,
Yukinari Sugawara,,,,,,
,"DD, DG",FC Tokyo,5,39,170 cm,"163,5 k €"
,,,,,,
Yuto Nagatomo,,,,,,
,DC,St.Truiden,3,34,182 cm,"515,5 k €"
,,,,,,
Shogo Taniguchi,,,,,,
,"DC, MC",Ajax,4,29,185 cm,"10,5 M €"
,,,,,,
Ko Itakura,,,,,,
,DC,Feyenoord,16,29,186 cm,"10,5 M €"
,,,,,,
Tsuyoshi Watanabe,,,,,,
,"DC, MD, MC",Le Havre,20,25,183 cm,"2,5 M €"
,,,,,,
Ayumu Seko,,,,,,
,"DC, DG",Bayern München,21,27,186 cm,"19,4 M €"
,,,,,,
Hiroki Ito,,,,,,
,"DC, DD",FC København,25,22,180 cm,"2,1 M €"
,,,,,,
Junnosuke Suzuki,,,,,,
,DG,Ajax,22,27,188 cm,"5,2 M €"
,,,,,,
Takehiro Tomiyasu,,,,,,
,"MD, DC",Liverpool,6,33,178 cm,"5,2 M €"
,,,,,,
Wataru Endo,,,,,,
,"MD, MC, MO",Leeds United,7,27,180 cm,"12,1 M €"
,,,,,,
Ao Tanaka,,,,,,
,"MD, MO, MC",Crystal Palace,15,29,184 cm,"10,2 M €"
,,,,,,
Daichi Kamada,,,,,,
,"MC, MD",Mainz 05,24,25,176 cm,"29,2 M €"
,,,,,,
Kaishu Sano,,,,,,
,MO,Freiburg,17,24,175 cm,"13,7 M €"
,,,,,,
Yuito Suzuki,,,,,,
,"AD, DLD, MO, MD, MC",Eintracht Frankfurt,10,27,172 cm,"21,7 M €"
,,,,,,
Ritsu Doan,,,,,,
,"AD, MO, MD",Real Sociedad,8,25,174 cm,"32,7 M €"
,,,,,,
Takefusa Kubo,,,,,,
,"AG, ATT, MG, DLG",Reims,13,25,180 cm,"9,9 M €"
,,,,,,
Keito Nakamura,,,,,,
,"AG, AD, MO, DLD, MD",Genk,14,33,176 cm,"2,3 M €"
,,,,,,
Junya Ito,,,,,,
,ATT,St.Truiden,9,21,191 cm,"3,3 M €"
,,,,,,
Keisuke Goto,,,,,,
,"ATT, AG, AD, MO, MG, DLG",Celtic,11,28,173 cm,"12,6 M €"
,,,,,,
Daizen Maeda,,,,,,
,ATT,Feyenoord,18,27,182 cm,"17,3 M €"
,,,,,,
Ayase Ueda,,,,,,
,ATT,NEC Nijmegen,19,28,186 cm,"1,9 M €"
,,,,,,
Koki Ogawa,,,,,,
,ATT,Wolfsburg,26,21,180 cm,"6,6 M €"
,,,,,,
Kento Shiogai,,,,,,
