joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Maroc,,55,183 cm,
,,,,,,
Jamal Sellami,,,,,,
,GA,Al-Hussein SC,1,33,188 cm,350 k €
,,,,,,
Yazeed Abulaila,,,,,,
,GA,Al-Faisaly,12,33,179 cm,250 k €
,,,,,,
Nour Bani Ateyah,,,,,,
,GA,Al-Wehdat,22,26,190 cm,300 k €
,,,,,,
Abdallah Al Fakhori,,,,,,
,DC,Al Zawraa,3,32,184 cm,550 k €
,,,,,,
Abdallah Nasib,,,,,,
,DC,Al-Faisaly,4,26,186 cm,350 k €
,,,,,,
Husam Abu Dahab,,,,,,
,DC,FC Seoul,5,30,185 cm,"636,5 k €"
,,,,,,
Yazan Al Arab,,,,,,
,DC,Selangor,16,25,185 cm,"103,5 k €"
,,,,,,
Mohammad Abu Al Nadi,,,,,,
,"DC, DG",Al-Hussein SC,17,34,187 cm,130 k €
,,,,,,
Saleem Obaid,,,,,,
,DC,Al-Hussein SC,19,29,186 cm,440 k €
,,,,,,
Saed Al Rosan,,,,,,
,MD,Al-Hussein SC,23,32,174 cm,380 k €
,,,,,,
Ehsan Haddad,,,,,,
,"MC, MD",Al Zawraa,6,23,177 cm,480 k €
,,,,,,
Amer Jamous,,,,,,
,MC,Selangor,8,29,182 cm,500 k €
,,,,,,
Noor Al Rawabdeh,,,,,,
,"MC, MD",Al-Hussein SC,14,32,175 cm,330 k €
,,,,,,
Raja'ei Ayed,,,,,,
,MC,0,15,26,175 cm,450 k €
,,,,,,
Ibrahim Sadeh,,,,,,
,"MC, MO, MD, AG",Qatar SC,21,27,183 cm,182 k €
,,,,,,
Nizar Al Rashdan,,,,,,
,Milieu de terrain,Al-Wehdat,25,34,185 cm,170 k €
,,,,,,
Mohammad Al Daoud,,,,,,
,"MD, AD",Al Shabab,24,22,178 cm,308 k €
,,,,,,
Ali Azaizeh,,,,,,
,MG,0,2,31,179 cm,450 k €
,,,,,,
Mohammad Abu Hasheesh,,,,,,
,"MG, AD, ATT",Rennes,10,28,178 cm,"5,3 M €"
,,,,,,
Mousa Al Tamari,,,,,,
,"MG, DLG",Al Quwa Al Jawiya,20,23,173 cm,450 k €
,,,,,,
Mohannad Abu Taha,,,,,,
,"MG, AG, AD",Pyramids FC,11,20,180 cm,200 k €
,,,,,,
Odeh Fakhoury,,,,,,
,"AD, MG",Raja Casablanca,7,28,170 cm,400 k €
,,,,,,
Mohammad Abu Zraiq,,,,,,
,"AG, MG, MO, MC",Al-Hussein SC,13,32,173 cm,500 k €
,,,,,,
Mahmoud Al Mardi,,,,,,
,"ATT, AD",Al-Sailiya,9,26,182 cm,344 k €
,,,,,,
Ali Olwan,,,,,,
,ATT,NK Lokomotiva,18,20,184 cm,"751,7 k €"
,,,,,,
Ibrahim Sabra,,,,,,
