joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Belgique,,49,,
,,,,,,
Mohamed Ouahbi,,,,,,
,GA,Al Hilal,1,35,192 cm,"2,4 M €"
,,,,,,
Yassine Bounou,,,,,,
,GA,RSB Berkane,12,37,190 cm,"1,4 M €"
,,,,,,
Munir El Kajoui,,,,,,
,GA,FAR Rabat,22,30,194 cm,"1,4 M €"
,,,,,,
Ahmed Reda Tagnaouti,,,,,,
,DD,Paris Saint-Germain,2,27,180 cm,"81,2 M €"
,,,,,,
Achraf Hakimi,,,,,,
,"DD, DG, DC, DLD",Manchester United,3,28,183 cm,"23,5 M €"
,,,,,,
Noussair Mazraoui,,,,,,
,"DD, MD",Genk,13,24,171 cm,18 M €
,,,,,,
Zakaria El Ouahdi,,,,,,
,DC,Marseille,5,30,190 cm,"20,7 M €"
,,,,,,
Nayef Aguerd,,,,,,
,DC,Fulham,14,29,194 cm,"11,1 M €"
,,,,,,
Issa Diop,,,,,,
,DC,Crystal Palace,18,22,186 cm,"16,8 M €"
,,,,,,
Chadi Riad,,,,,,
,DC,KV Mechelen,25,23,189 cm,"2,2 M €"
,,,,,,
Redouane Halhal,,,,,,
,DG,PSV Eindhoven,26,24,181 cm,"8,9 M €"
,,,,,,
Anass Salah-Eddine,,,,,,
,"DG, DC, MG",Al Ahly SC,28,27,175 cm,"1,2 M €"
,,,,,,
Youssef Belammari,,,,,,
,"MD, MC",Real Betis,4,29,185 cm,"12,7 M €"
,,,,,,
Sofyan Amrabat,,,,,,
,"MD, MC, DD",Lille,6,18,185 cm,48 M €
,,,,,,
Ayyoub Bouaddi,,,,,,
,"MD, MC",Strasbourg,15,20,187 cm,"3,8 M €"
,,,,,,
Samir El Mourabet,,,,,,
,"MD, MC, MO",Roma,24,24,185 cm,"22,3 M €"
,,,,,,
Neil El Aynaoui,,,,,,
,"MO, MC, AG",Girona,8,26,182 cm,"11,1 M €"
,,,,,,
Azzedine Ounahi,,,,,,
,"MO, MC, ATT, AG",PSV Eindhoven,11,25,185 cm,"30,4 M €"
,,,,,,
Ismael Saibari,,,,,,
,"MO, AD, MC, ATT",VfB Stuttgart,23,22,180 cm,40 M €
,,,,,,
Bilal El Khannouss,,,,,,
,"AD, ATT, MG, MD",Real Madrid,10,26,170 cm,35 M €
,,,,,,
Brahim Díaz,,,,,,
,"AD, AG, MG",Strasbourg,16,20,172 cm,"7,3 M €"
,,,,,,
Gessime Yassine,,,,,,
,"AD, MD, DLD, ATT",Eintracht Frankfurt,21,21,179 cm,"1,1 M €"
,,,,,,
Ayoube Amaimouni-Echghouyab,,,,,,
,"AD, AG, MG",Sunderland,21,21,175 cm,30 M €
,,,,,,
Chemsdine Talbi,,,,,,
,"AG, MG",Real Betis,17,24,177 cm,"17,9 M €"
,,,,,,
Abde Ezzalzouli,,,,,,
,ATT,Al-Ain,9,30,180 cm,"6,5 M €"
,,,,,,
Soufiane Rahimi,,,,,,
,"ATT, MO",Olympiacos,20,32,182 cm,"2,9 M €"
,,,,,,
Ayoub El Kaabi,,,,,,
