joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Mexique,,67,,
,,,,,,
Javier Aguirre,,,,,,
,GA,Chivas,1,26,187 cm,"7,4 M €"
,,,,,,
Raúl Rangel,,,,,,
,GA,Santos Laguna,12,30,182 cm,2 M €
,,,,,,
Carlos Acevedo,,,,,,
,GA,AEL Limassol,13,40,185 cm,"128,2 k €"
,,,,,,
Guillermo Ochoa,,,,,,
,"DD, DLD, MD, DC",PAOK Thessaloniki,2,28,175 cm,"1,6 M €"
,,,,,,
Jorge Sánchez,,,,,,
,DC,Lokomotiv Moscow,3,29,191 cm,6 M €
,,,,,,
César Montes,,,,,,
,DC,Genoa,5,27,185 cm,"15,5 M €"
,,,,,,
Johan Vásquez,,,,,,
,"DC, MD, MC",Cruz Azul,6,26,170 cm,"12,7 M €"
,,,,,,
Érik Lira,,,,,,
,"DC, MD, MC",Chivas,7,31,182 cm,2 M €
,,,,,,
Luis Romo,,,,,,
,"DC, DD, MD, MC",CF America,15,26,179 cm,"3,7 M €"
,,,,,,
Israel Reyes,,,,,,
,"DG, DLG",AZ Alkmaar,20,22,176 cm,5 M €
,,,,,,
Mateo Chávez,,,,,,
,"DG, DLG, MG",Toluca,23,31,177 cm,"2,1 M €"
,,,,,,
Jesús Gallardo,,,,,,
,"MD, MC, DC",Fenerbahçe,4,28,186 cm,"16,4 M €"
,,,,,,
Edson Álvarez,,,,,,
,"MD, MC, MO, MG",Atletico Madrid,18,20,175 cm,"11,2 M €"
,,,,,,
Obed Vargas,,,,,,
,"MC, MO, MD",Real Betis,8,29,175 cm,"6,7 M €"
,,,,,,
Álvaro Fidalgo,,,,,,
,"MC, MD, MD, MO",AEK Athens,17,30,168 cm,"4,7 M €"
,,,,,,
Orbelín Pineda,,,,,,
,"MC, MO, ATT, AG, MG",Tijuana,19,17,160 cm,"8,5 M €"
,,,,,,
Gilberto Mora,,,,,,
,"MC, MD",Dinamo Moscow,24,30,178 cm,"4,5 M €"
,,,,,,
Luis Chávez,,,,,,
,"MC, MD, MO",Chivas,26,22,178 cm,"7,6 M €"
,,,,,,
Brian Gutiérrez,,,,,,
,"MO, AD, ATT, MD, DC",Chivas,25,27,172 cm,"6,9 M €"
,,,,,,
Roberto Alvarado,,,,,,
,"AD, MC, AG",Anderlecht,21,25,171 cm,"4,7 M €"
,,,,,,
César Huerta,,,,,,
,"AG, MG, MO, ATT",Toluca,10,28,172 cm,"5,1 M €"
,,,,,,
Alexis Vega,,,,,,
,ATT,Fulham,9,35,188 cm,"3,6 M €"
,,,,,,
Raul Jiménez,,,,,,
,ATT,Milan,11,25,183 cm,"22,3 M €"
,,,,,,
Santiago Giménez,,,,,,
,"ATT, MO",Chivas,14,23,178 cm,"3,5 M €"
,,,,,,
Armando González,,,,,,
,"ATT, AG",Al Qadsiah,16,29,176 cm,"12,1 M €"
,,,,,,
Julián Quiñones,,,,,,
,ATT,Pumas,22,31,180 cm,"1,1 M €"
,,,,,,
Guillermo Martínez,,,,,,
