joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Angleterre,,53,,
,,,,,,
Darren Bazeley,,,,,,
,GA,Millwall,1,32,194 cm,"557,5 k €"
,,,,,,
Max Crocombe,,,,,,
,GA,Lechia Gdańsk,12,23,183 cm,"837,4 k €"
,,,,,,
Alex Paulsen,,,,,,
,GA,Auckland FC,22,27,196 cm,"234,3 k €"
,,,,,,
Michael Woud,,,,,,
,"DD, DC, DLD",Wellington Phoenix,2,32,179 cm,"204,8 k €"
,,,,,,
Tim Payne,,,,,,
,"DD, DG, DLD, DLG",Auckland FC,24,26,177 cm,284 k €
,,,,,,
Callan Elliot,,,,,,
,DC,Sheffield United,4,21,188 cm,2 M €
,,,,,,
Tyler Bindon,,,,,,
,DC,Minnesota United,5,37,188 cm,"103,3 k €"
,,,,,,
Michael Boxall,,,,,,
,DC,Auckland FC,15,27,192 cm,247 k €
,,,,,,
Nando Pijnaker,,,,,,
,DC,Portland Timbers,16,22,190 cm,"1,3 M €"
,,,,,,
Finn Surman,,,,,,
,DC,Braintree Town,26,36,185 cm,50 k €
,,,,,,
Tommy Smith,,,,,,
,DG,Auckland FC,3,31,188 cm,"286,8 k €"
,,,,,,
Francis De Vries,,,,,,
,"DG, AG, MG",Saint-Etienne,19,23,173 cm,988 k €
,,,,,,
Benjamin Old,,,,,,
,"DLG, DG, MG",Wrexham,13,25,184 cm,"2,4 M €"
,,,,,,
Liberato Cacace,,,,,,
,"MD, MC",Viking,6,27,182 cm,"1,9 M €"
,,,,,,
Joe Bell,,,,,,
,"MD, MC",Swansea City,8,24,188 cm,"3,7 M €"
,,,,,,
Marko Stamenic,,,,,,
,"MD, MC",PEC Zwolle,23,31,174 cm,"638,4 k €"
,,,,,,
Ryan Thomas,,,,,,
,"MC, MD",Wellington Phoenix,14,29,184 cm,"201,7 k €"
,,,,,,
Alex Rufer,,,,,,
,"MG, AG, ATT, AD",Auckland FC,21,23,176 cm,"485,1 k €"
,,,,,,
Jesse Randall,,,,,,
,"MO, AD, MC, AG",Peterborough United,7,24,188 cm,"376,7 k €"
,,,,,,
Matthew Garbett,,,,,,
,"MO, AD",Wellington Phoenix,10,27,172 cm,"224,4 k €"
,,,,,,
Sarpreet Singh,,,,,,
,"MO, MC, AD, AG, ATT, MD",Silkeborg,20,27,179 cm,"1,7 M €"
,,,,,,
Callum McCowatt,,,,,,
,"MO, MC, MD",Newcastle Jets,25,23,179 cm,"263,6 k €"
,,,,,,
Lachlan Bayliss,,,,,,
,"MO, AG, AD, ATT, MC, MD",Motherwell,11,26,174 cm,"808,5 k €"
,,,,,,
Elijah Just,,,,,,
,ATT,Nottingham Forest,9,34,191 cm,"6,4 M €"
,,,,,,
Chris Wood,,,,,,
,"ATT, AD",Western Sydney Wanderers FC,17,36,171 cm,"161,9 k €"
,,,,,,
Kosta Barbarouses,,,,,,
,"ATT, MG, MO, AG, AD",Port Vale,18,24,179 cm,"575,1 k €"
,,,,,,
Ben Waine,,,,,,
