joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Italie,,52,176 cm,
,,,,,,
Fabio Cannavaro,,,,,,
,GA,Foolad Khuzestan,1,35,185 cm,550 k €
,,,,,,
Utkir Yusupov,,,,,,
,GA,Nasaf Qarshi,12,25,182 cm,"1,8 M €"
,,,,,,
Abduvohid Nematov,,,,,,
,GA,AGMK,16,30,189 cm,530 k €
,,,,,,
Botirali Ergashev,,,,,,
,"DC, DD",Manchester City,2,22,186 cm,47 M €
,,,,,,
Abdukodir Khusanov,,,,,,
,DC,Esteghlal,5,29,186 cm,"450,4 k €"
,,,,,,
Rustamjon Ashurmatov,,,,,,
,"DC, MD",Nasaf Qarshi,15,33,185 cm,480 k €
,,,,,,
Umar Eshmuradov,,,,,,
,Défenseur,Ouzbékistan,24,18,172 cm,370 k €
,,,,,,
Behruzjon Karimov,,,,,,
,Défenseur,AGMK,25,26,187 cm,
,,,,,,
Avazbek Ulasmaliev,,,,,,
,DC,Ouzbékistan,26,22,190 cm,630 k €
,,,,,,
Jakhongir Urozov,,,,,,
,"DG, DLG",Nasaf Qarshi,13,27,181 cm,"1,5 M €"
,,,,,,
Sherzod Nasrulloev,,,,,,
,"DLD, DD",Pakhtakor Tashkent,3,29,180 cm,
,,,,,,
Khoziakbar Alidzhanov,,,,,,
,DLG,Navbahor Namangan,4,35,180 cm,300 k €
,,,,,,
Farrukh Sayfiev,,,,,,
,"MD, MC, MO",Baniyas,7,29,182 cm,"1,9 M €"
,,,,,,
Otabek Shukurov,,,,,,
,"MC, MD",Tractor,9,30,180 cm,950 k €
,,,,,,
Odildzhon Khamrobekov,,,,,,
,"MC, MD, DC",Dibba Al Fujairah,18,28,181 cm,650 k €
,,,,,,
Abdulla Abdullaev,,,,,,
,"MC, MD, MO, AD",Al Bataeh,19,28,178 cm,
,,,,,,
Azizjon Ganiev,,,,,,
,MC,Dinamo Samarkand,20,28,183 cm,750 k €
,,,,,,
Azizbek Amonov,,,,,,
,"MO, MC",Baniyas,6,26,180 cm,"1,5 M €"
,,,,,,
Akmal Mozgovoy,,,,,,
,"MO, MG",Persepolis,11,25,190 cm,"1,5 M €"
,,,,,,
Oston Urunov,,,,,,
,"MO, ATT, AG",Başakşehir,14,30,190 cm,"5,6 M €"
,,,,,,
Eldor Shomurodov,,,,,,
,AD,Pakhtakor Tashkent,17,29,178 cm,650 k €
,,,,,,
Dostonbek Khamdamov,,,,,,
,AD,Buxoro,23,23,190 cm,"142,2 k €"
,,,,,,
Sherzod Esanov,,,,,,
,"AD, MO, AG",Başakşehir,22,22,167 cm,"9,3 M €"
,,,,,,
Abbosbek Fayzullayev,,,,,,
,AG,Esteghlal,10,32,172 cm,763 k €
,,,,,,
Jaloliddin Masharipov,,,,,,
,ATT,Neftchi Fargona,8,32,168 cm,950 k €
,,,,,,
Jamshid Iskandarov,,,,,,
,ATT,Persepolis,21,33,190 cm,"828,9 k €"
,,,,,,
Igor Sergeev,,,,,,
