joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Espagne,,53,,
,,,,,,
Thomas Christiansen,,,,,,
,GA,Nacional,1,35,190 cm,300 k €
,,,,,,
Luis MejíaBlessure musculaire - Fin juin 2026,,,,,,
,GA,CD Marathon,12,32,189 cm,250 k €
,,,,,,
César Samudio,,,,,,
,GA,Al-Fayha,22,31,191 cm,"289,4 k €"
,,,,,,
Orlando Mosquera,,,,,,
,"DD, DLD, MD",Slovan Bratislava,2,28,174 cm,"1,6 M €"
,,,,,,
César Blackman,,,,,,
,"DD, DLD, DG, DC",Beşiktaş,23,30,183 cm,"8,4 M €"
,,,,,,
Amir Murillo,,,,,,
,DC,Norwich City,3,25,187 cm,"4,1 M €"
,,,,,,
José Córdoba,,,,,,
,"DC, MC, DD, DG, MD, MD",Deportivo Saprissa,4,31,181 cm,240 k €
,,,,,,
Fidel Escobar,,,,,,
,DC,Nizhny Novgorod,5,24,194 cm,950 k €
,,,,,,
Edgardo Fariña,,,,,,
,DC,Academia Puerto Cabello,13,29,175 cm,400 k €
,,,,,,
Jiovany Ramos,,,,,,
,"DC, MD, MC",Minnesota United,14,26,185 cm,"381,9 k €"
,,,,,,
Carlos Harvey,,,,,,
,DC,LASK,16,27,187 cm,"1,4 M €"
,,,,,,
Andrés Andrade,,,,,,
,DC,Turan Tovuz,25,34,189 cm,"153,6 k €"
,,,,,,
Roderick Miller,,,,,,
,"DG, DLG",Deportivo La Guaira,26,27,171 cm,800 k €
,,,,,,
Jorge Gutiérrez,,,,,,
,DLG,CD Plaza Amador,15,35,180 cm,
,,,,,,
Éric Davis,,,,,,
,"MD, MO, MC",Hapoel Ironi Kiryat Shmona,6,29,170 cm,"648,6 k €"
,,,,,,
Cristian Martínez,,,,,,
,"MC, MD, MO, AD, ATT",Pumas,8,27,170 cm,"2,6 M €"
,,,,,,
Adalberto Carrasquilla,,,,,,
,"MC, MD, AD, AG, MD, MG",Mazatlan FC,11,32,175 cm,522 k €
,,,,,,
Yoel Bárcenas,,,,,,
,"MC, MD",San Diego FC,20,36,183 cm,"76,1 k €"
,,,,,,
Aníbal GodoyBlessure mineure - Mi juin 2026,,,,,,
,"MC, MO, MD",Cobresal,21,30,170 cm,"189,1 k €"
,,,,,,
César Yanis,,,,,,
,AD,CD Plaza Amador,19,38,165 cm,250 k €
,,,,,,
Alberto Quintero,,,,,,
,"AD, MO",Universidad Catolica,24,24,185 cm,"868,2 k €"
,,,,,,
Azarías Londoño,,,,,,
,"AG, MG, AD, DLG, MD",FC Juarez,7,27,180 cm,"2,1 M €"
,,,,,,
José Luis Rodriguez,,,,,,
,"AG, MO, ATT, MG, AD",Leon,10,29,181 cm,"1,6 M €"
,,,,,,
Ismael Díaz,,,,,,
,"ATT, MG, MC",Deportivo Saprissa,9,27,178 cm,1 M €
,,,,,,
Tomás Rodríguez,,,,,,
,ATT,Universidad Catolica,17,32,180 cm,"273,3 k €"
,,,,,,
José Fajardo,,,,,,
,ATT,Universidad de Concepcion,18,35,180 cm,"255,1 k €"
,,,,,,
Cecilio Waterman,,,,,,
