joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Argentine,,63,,
,,,,,,
Gustavo Alfaro,,,,,,
,GA,Cerro Porteno,1,38,191 cm,300 k €
,,,,,,
Roberto Fernández,,,,,,
,GA,San Lorenzo,12,25,198 cm,"5,1 M €"
,,,,,,
Orlando Gill,,,,,,
,GA,Olimpia,22,33,191 cm,"1,3 M €"
,,,,,,
Gastón Olveira,,,,,,
,"DD, MD, DLD",Dinamo Moscow,4,26,173 cm,"3,8 M €"
,,,,,,
Juan Cáceres,,,,,,
,"DC, DD",Cerro Porteno,2,35,179 cm,650 k €
,,,,,,
Gustavo Velázquez,,,,,,
,DC,Sunderland,3,29,188 cm,18 M €
,,,,,,
Omar Alderete,,,,,,
,DC,Gremio,5,34,190 cm,"904,6 k €"
,,,,,,
Fabián BalbuenaBlessure à la cuisse - Quelques semaines,,,,,,
,"DC, DG",Atletico MG,6,33,185 cm,"1,4 M €"
,,,,,,
Júnior Alonso,,,,,,
,DC,Lanus,13,29,187 cm,"1,1 M €"
,,,,,,
José Canale,,,,,,
,DC,Palmeiras,15,33,186 cm,"2,6 M €"
,,,,,,
Gustavo Gómez,,,,,,
,DG,Talleres,26,20,178 cm,"1,2 M €"
,,,,,,
Alexandro Maidana,,,,,,
,"MD, MC",Vancouver Whitecaps,14,30,169 cm,"2,1 M €"
,,,,,,
Andrés Cubas,,,,,,
,"MD, MC, MO",Sao Paulo,16,24,181 cm,"5,8 M €"
,,,,,,
Damián BobadillaBlessure au genou - Mi juin 2026,,,,,,
,"MC, ATT, MD, AD",Al-Ain,17,31,165 cm,"5,5 M €"
,,,,,,
Alejandro Romero,,,,,,
,"MC, MD",Orlando City,20,25,173 cm,"2,3 M €"
,,,,,,
Braian Ojeda,,,,,,
,"MC, AG, MO, MD",Atlanta United,23,24,175 cm,"2,5 M €"
,,,,,,
Matías Galarza,,,,,,
,"MO, AD, MC, MG, AG, ATT",Palmeiras,11,24,174 cm,"15,5 M €"
,,,,,,
Mauricio,,,,,,
,"MO, ATT",Strasbourg,19,22,173 cm,"25,5 M €"
,,,,,,
Julio Enciso,,,,,,
,"AD, MO, AG, MC, MD",Brighton & Hove Albion,8,23,183 cm,"3,4 M €"
,,,,,,
Diego Gómez,,,,,,
,"AD, AG",Portsmouth,24,24,186 cm,"1,1 M €"
,,,,,,
Gustavo Caballero,,,,,,
,"AG, ATT, AD, MO, MD, MG",Palmeiras,7,26,179 cm,"11,2 M €"
,,,,,,
Ramón Sosa,,,,,,
,"AG, AD, MG, ATT, MD, MC",Atlanta United,10,32,174 cm,"18,1 M €"
,,,,,,
Miguel Almirón,,,,,,
,ATT,Cremonese,9,30,180 cm,"2,2 M €"
,,,,,,
Antonio Sanabria,,,,,,
,ATT,Independiente Rivadavia,18,30,187 cm,"2,2 M €"
,,,,,,
Álex Arce,,,,,,
,ATT,Independiente,21,35,185 cm,850 k €
,,,,,,
Gabriel Ávalos,,,,,,
,ATT,Red Bull Bragantino,25,26,183 cm,"9,1 M €"
,,,,,,
Isidro Pitta,,,,,,
