joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Pays-Bas,,63,,
,,,,,,
Ronald Koeman,,,,,,
,GA,Brighton & Hove Albion,1,23,193 cm,"53,6 M €"
,,,,,,
Bart Verbruggen,,,,,,
,GA,Sunderland,13,23,193 cm,"24,9 M €"
,,,,,,
Robin Roefs,,,,,,
,GA,Bayer Leverkusen,23,32,189 cm,"6,8 M €"
,,,,,,
Mark Flekken,,,,,,
,"DD, DC, DG",Arsenal,2,24,179 cm,79 M €
,,,,,,
Jurriën Timber,,,,,,
,DD,Brighton & Hove Albion,12,26,188 cm,"19,5 M €"
,,,,,,
Mats Wieffer,,,,,,
,DC,Liverpool,4,34,193 cm,"7,8 M €"
,,,,,,
Virgil van Dijk,,,,,,
,"DC, DG",Manchester City,5,31,180 cm,"14,9 M €"
,,,,,,
Nathan Aké,,,,,,
,DC,Brighton & Hove Albion,6,25,189 cm,"44,3 M €"
,,,,,,
Jan Paul van Hecke,,,,,,
,"DC, DG",Tottenham Hotspur,15,25,193 cm,"73,5 M €"
,,,,,,
Micky van de Ven,,,,,,
,"DC, DG",Chelsea,25,20,182 cm,"55,1 M €"
,,,,,,
Jorrel Hato,,,,,,
,"DC, MD, MC, MO",Juventus,20,28,186 cm,26 M €
,,,,,,
Teun Koopmeiners,,,,,,
,"MD, MC, DC",Atalanta,3,35,185 cm,"2,3 M €"
,,,,,,
Marten de Roon,,,,,,
,"MD, MC, DC",Liverpool,8,24,190 cm,"103,8 M €"
,,,,,,
Ryan Gravenberch,,,,,,
,"MD, MC",Barcelona,21,29,181 cm,"42,8 M €"
,,,,,,
Frenkie de Jong,,,,,,
,"MD, MO, MC",Marseille,26,24,179 cm,"25,1 M €"
,,,,,,
Quinten Timber,,,,,,
,"MD, DD",Inter,22,30,189 cm,"22,1 M €"
,,,,,,
Denzel Dumfries,,,,,,
,MO,AFC Bournemouth,7,27,175 cm,"37,3 M €"
,,,,,,
Justin Kluivert,,,,,,
,"MO, MC, MD",Manchester City,14,27,185 cm,"61,9 M €"
,,,,,,
Tijjani Reijnders,,,,,,
,"AG, ATT, MG",Liverpool,11,27,193 cm,"69,1 M €"
,,,,,,
Cody Gakpo,,,,,,
,"AG, MO",Galatasaray,17,26,170 cm,"22,4 M €"
,,,,,,
Noa Lang,,,,,,
,"AG, MG, ATT, MO, AD",West Ham United,24,24,174 cm,31 M €
,,,,,,
Crysencio Summerville,,,,,,
,ATT,Ajax,9,33,197 cm,"1,6 M €"
,,,,,,
Wout Weghorst,,,,,,
,ATT,Corinthians,10,32,176 cm,"4,1 M €"
,,,,,,
Memphis Depay,,,,,,
,"ATT, MO, MC",PSV Eindhoven,16,28,183 cm,"15,2 M €"
,,,,,,
Guus Til,,,,,,
,"ATT, AD",Roma,18,27,179 cm,"19,1 M €"
,,,,,,
Donyell Malen,,,,,,
,ATT,Sunderland,19,24,180 cm,"27,7 M €"
,,,,,,
Brian Brobbey,,,,,,
