joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Espagne,,52,,
,,,,,,
Roberto Martínez,,,,,,
,GA,FC Porto,1,26,186 cm,"41,3 M €"
,,,,,,
Diogo Costa,,,,,,
,GA,Wolverhampton Wanderers,12,33,192 cm,"5,7 M €"
,,,,,,
José Sá,,,,,,
,GA,Sporting CP,22,32,189 cm,"8,9 M €"
,,,,,,
Rui Silva,,,,,,
,"DD, DLD, AD, DG",Fenerbahçe,2,32,180 cm,"4,1 M €"
,,,,,,
Nélson Semedo,,,,,,
,"DD, DLG, DLD",Manchester United,5,27,183 cm,"37,6 M €"
,,,,,,
Diogo Dalot,,,,,,
,DD,Manchester City,6,27,183 cm,"52,5 M €"
,,,,,,
Matheus Nunes,,,,,,
,DC,Manchester City,3,29,187 cm,"51,9 M €"
,,,,,,
Rúben Dias,,,,,,
,"DC, DD",Benfica,4,24,187 cm,"33,2 M €"
,,,,,,
Tomás Araújo,,,,,,
,DC,Villarreal,13,22,190 cm,"27,4 M €"
,,,,,,
Renato Veiga,,,,,,
,DC,Sporting CP,14,24,186 cm,"41,5 M €"
,,,,,,
Gonçalo Inácio,,,,,,
,"DG, DD",Barcelona,20,32,182 cm,8 M €
,,,,,,
João Cancelo,,,,,,
,DG,Paris Saint-Germain,25,23,184 cm,"74,1 M €"
,,,,,,
Nuno Mendes,,,,,,
,"MD, MC, DC",Al Hilal,21,29,180 cm,"18,7 M €"
,,,,,,
Rúben Neves,,,,,,
,"MD, MC",Mallorca,24,25,183 cm,"16,7 M €"
,,,,,,
Samú,,,,,,
,MC,Paris Saint-Germain,15,21,174 cm,"83,2 M €"
,,,,,,
João Neves,,,,,,
,"MC, MD",Paris Saint-Germain,23,26,172 cm,"115,3 M €"
,,,,,,
Vitinha,,,,,,
,"MO, MD",Manchester United,8,31,179 cm,"41,4 M €"
,,,,,,
Bruno Fernandes,,,,,,
,"MO, MD, AD, MC",Manchester City,10,31,173 cm,22 M €
,,,,,,
Bernardo Silva,,,,,,
,"MO, AD, AG",Sporting CP,16,26,183 cm,40 M €
,,,,,,
Trincão,,,,,,
,"MO, AD",Juventus,26,23,170 cm,"33,8 M €"
,,,,,,
Francisco Conceição,,,,,,
,"MO, ATT, AG",Al Nassr FC,11,26,181 cm,"18,6 M €"
,,,,,,
Joao Félix,,,,,,
,"AD, AG, MO",Chelsea,18,26,172 cm,"63,8 M €"
,,,,,,
Pedro Neto,,,,,,
,"AG, AD, MD, MG, ATT",Real Sociedad,19,29,179 cm,"6,2 M €"
,,,,,,
Gonçalo Guedes,,,,,,
,ATT,Al Nassr FC,7,41,187 cm,"10,4 M €"
,,,,,,
Cristiano Ronaldo,,,,,,
,ATT,Paris Saint-Germain,9,24,185 cm,"39,3 M €"
,,,,,,
Gonçalo Ramos,,,,,,
,ATT,Milan,17,26,188 cm,"66,5 M €"
,,,,,,
Rafael Leão,,,,,,
