joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Espagne,,59,185 cm,
,,,,,,
Julen Lopetegui,,,,,,
,GA,Al-Rayyan,1,26,191 cm,404 k €
,,,,,,
Mahmoud Abunada,,,,,,
,GA,Al-Duhail SC,1,27,189 cm,"259,1 k €"
,,,,,,
Salah Zakaria,,,,,,
,GA,Al-Sadd,22,28,180 cm,"650,9 k €"
,,,,,,
Meshaal Barsham,,,,,,
,"DD, DC, MD, MC, DLD",Al-Gharafa,13,21,187 cm,90 k €
,,,,,,
Ayoub Al Oui,,,,,,
,"DC, DD",Al-Sadd,2,35,182 cm,550 k €
,,,,,,
Pedro Miguel,,,,,,
,DC,Al-Arabi,4,22,184 cm,"342,9 k €"
,,,,,,
Al Hashmi Al Hussain,,,,,,
,DC,Al-Arabi,4,28,188 cm,"328,3 k €"
,,,,,,
Issa Laye,,,,,,
,DC,Al-Wakrah,12,35,184 cm,"314,1 k €"
,,,,,,
Lucas Mendes,,,,,,
,DC,Al-Sadd,16,35,180 cm,"384,8 k €"
,,,,,,
Boualem Khoukhi,,,,,,
,"DG, AG, MG, DLG",Cultural Leonesa,14,26,188 cm,"297,2 k €"
,,,,,,
Homam El Amin,,,,,,
,DG,Al-Duhail SC,18,30,175 cm,"254,1 k €"
,,,,,,
Sultan Al Brake,,,,,,
,"MD, MC",Al-Arabi,6,33,171 cm,"208,8 k €"
,,,,,,
Ahmed Fathy,,,,,,
,"MD, DD",Al-Rayyan,8,24,181 cm,"540,6 k €"
,,,,,,
Jassem Gaber,,,,,,
,"MD, MC",Al-Duhail SC,12,35,190 cm,"197,3 k €"
,,,,,,
Karim Boudiaf,,,,,,
,"MD, MC",Al-Wakrah,23,29,168 cm,"192,9 k €"
,,,,,,
Assim Madibo,,,,,,
,"MO, MD, MC",Al-Rayyan,6,35,183 cm,"175,2 k €"
,,,,,,
Abdulaziz Hatem,,,,,,
,"MO, MD, ATT",Al-Shamal,26,23,189 cm,
,,,,,,
Mohammad Al Mannai,,,,,,
,"AD, AG, MD",Al-Duhail SC,8,31,181 cm,1 M €
,,,,,,
Edmílson Junior,,,,,,
,AD,Al-Sadd,10,35,174 cm,"206,8 k €"
,,,,,,
Hassan Al Haydos,,,,,,
,"AD, ATT",Al-Wakrah,11,26,175 cm,"277,5 k €"
,,,,,,
Yusuf Abdurisag,,,,,,
,"AD, MO",Al-Gharafa,17,25,178 cm,"354,9 k €"
,,,,,,
Ahmed Al Ganehi,,,,,,
,AD,Al-Duhail SC,24,19,177 cm,230 k €
,,,,,,
Tahsin Mohammed,,,,,,
,"AG, ATT, MG",Al-Sadd,10,29,177 cm,4 M €
,,,,,,
Akram Afif,,,,,,
,ATT,Al-Rayyan,7,33,177 cm,750 k €
,,,,,,
Ahmed Alaa,,,,,,
,ATT,Al-Gharafa,9,32,194 cm,"221,9 k €"
,,,,,,
Mohammed Muntari,,,,,,
,ATT,Al-Duhail SC,19,29,180 cm,"1,4 M €"
,,,,,,
Almoez Ali,,,,,,
