joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,France,,49,,
,,,,,,
Sébastien Desabre,,,,,,
,GA,Le Havre,1,31,182 cm,"449,8 k €"
,,,,,,
Lionel Mpasi-Nzau,,,,,,
,GA,FC Noah,16,26,192 cm,553 k €
,,,,,,
Timothy Fayulu,,,,,,
,GA,Standard Liege,21,21,183 cm,"6,7 M €"
,,,,,,
Matthieu Epolo,,,,,,
,"DD, DLD, MD",West Ham United,2,28,183 cm,"24,7 M €"
,,,,,,
Aaron Wan-Bissaka,,,,,,
,"DD, MD",Aris Limassol,24,28,176 cm,"867,3 k €"
,,,,,,
Gédéon Kalulu,,,,,,
,"DC, DG",Widzew Łódź,3,28,196 cm,"1,6 M €"
,,,,,,
Steve Kapuadi,,,,,,
,DC,Burnley,4,28,183 cm,"3,5 M €"
,,,,,,
Axel Tuanzebe,,,,,,
,DC,AE Larissa,5,30,185 cm,"217,1 k €"
,,,,,,
Dylan Batubinsika,,,,,,
,DC,Lille,22,31,182 cm,"1,5 M €"
,,,,,,
Chancel Mbemba,,,,,,
,"DG, DC",Genk,12,31,180 cm,"1,6 M €"
,,,,,,
Joris Kayembe Ditu,,,,,,
,"DG, DC",Lens,26,32,179 cm,"1,7 M €"
,,,,,,
Arthur Masuaku,,,,,,
,"MD, MC",Atromitos,8,29,176 cm,"712,3 k €"
,,,,,,
Samuel Moutoussamy,,,,,,
,"MD, MC",Kilmarnock,15,31,190 cm,72 k €
,,,,,,
Aaron Tshibola,,,,,,
,"MC, MD, MO",Sunderland,14,21,173 cm,"31,2 M €"
,,,,,,
Noah Sadiki,,,,,,
,"MC, MD, MO",Espanyol,18,29,187 cm,"1,3 M €"
,,,,,,
Charles Pickel,,,,,,
,"MC, ATT, MO, MD",Watford,25,28,183 cm,2 M €
,,,,,,
Edo Kayembe,,,,,,
,"AD, MC, MD, MO",Lille,6,21,188 cm,16 M €
,,,,,,
Ngal Ayel Mukau,,,,,,
,AD,Spartak Moscow,10,30,177 cm,"2,1 M €"
,,,,,,
Théo Bongonda,,,,,,
,"AD, MO, AG",Alanyaspor,13,28,173 cm,"1,2 M €"
,,,,,,
Meschack Elia,,,,,,
,"AG, MG, MD, MC",Castellon,9,28,169 cm,"447,5 k €"
,,,,,,
Brian Cipenga,,,,,,
,"AG, MO, AD, MD, MC",Montpellier,7,24,170 cm,"1,4 M €"
,,,,,,
Nathanaël Mbuku,,,,,,
,"ATT, MO, AD",AE Larissa,11,34,173 cm,"464,3 k €"
,,,,,,
Gaël Kakuta,,,,,,
,ATT,Real Betis,17,35,183 cm,"1,1 M €"
,,,,,,
Cédric Bakambu,,,,,,
,ATT,Pyramids FC,19,31,185 cm,1 M €
,,,,,,
Fiston Mayele,,,,,,
,"ATT, AG, MO",Newcastle United,20,29,176 cm,"27,6 M €"
,,,,,,
Yoane Wissa,,,,,,
,ATT,Al-Jazira,23,29,189 cm,"11,8 M €"
,,,,,,
Simon Banza,,,,,,
