joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Sénégal,,45,187 cm,
,,,,,,
Pape Thiaw,,,,,,
,GA,Nice,1,26,190 cm,"8,4 M €"
,,,,,,
Yehvann Diouf,,,,,,
,GA,Al Ahli,16,34,197 cm,"2,2 M €"
,,,,,,
Édouard Mendy,,,,,,
,GA,Le Havre,23,32,197 cm,"1,2 M €"
,,,,,,
Mory Diaw,,,,,,
,"DD, DLD, MO",Monaco,15,27,173 cm,"3,5 M €"
,,,,,,
Krépin Diatta,,,,,,
,DC,Chelsea,2,20,194 cm,"32,4 M €"
,,,,,,
Mamadou Sarr,,,,,,
,DC,Al Hilal,3,34,186 cm,"3,4 M €"
,,,,,,
Kalidou Koulibaly,,,,,,
,DC,Maccabi Haifa,4,34,192 cm,"204,9 k €"
,,,,,,
Abdoulaye Seck,,,,,,
,DC,Lyon,19,30,180 cm,"17,8 M €"
,,,,,,
Moussa Niakhaté,,,,,,
,"DC, DD",Nice,24,22,187 cm,"9,1 M €"
,,,,,,
Antoine Mendy,,,,,,
,DG,Galatasaray,14,26,184 cm,"7,5 M €"
,,,,,,
Ismail Jakobs,,,,,,
,"DG, DLG, AG, MG",West Ham United,25,21,183 cm,"42,2 M €"
,,,,,,
Malick Diouf,,,,,,
,"MD, MC",Everton,5,36,174 cm,"1,5 M €"
,,,,,,
Idrissa Gana Gueye,,,,,,
,"MD, DC, MC",Rayo Vallecano,6,32,183 cm,"1,9 M €"
,,,,,,
Pathé Ciss,,,,,,
,"MD, MC",Monaco,8,22,173 cm,41 M €
,,,,,,
Lamine Camara,,,,,,
,"MD, MC, MO",Tottenham Hotspur,17,23,184 cm,"43,6 M €"
,,,,,,
Pape Sarr,,,,,,
,MD,Bayern München,22,18,180 cm,310 k €
,,,,,,
Bara Ndiaye,,,,,,
,"MC, MO, MD",Sunderland,21,22,179 cm,"43,5 M €"
,,,,,,
Habib Diarra,,,,,,
,"MC, MD",Villarreal,26,27,189 cm,30 M €
,,,,,,
Pape Gueye,,,,,,
,"MG, AG, ATT",Al Nassr FC,10,34,175 cm,"9,3 M €"
,,,,,,
Sadio Mané,,,,,,
,"MO, AD, AG",Crystal Palace,18,28,185 cm,"41,5 M €"
,,,,,,
Ismaïla Sarr,,,,,,
,"AD, AG",Como,7,20,185 cm,35 M €
,,,,,,
Assane Diao,,,,,,
,"AD, AG, MO",Everton,13,26,180 cm,"52,2 M €"
,,,,,,
Iliman Ndiaye,,,,,,
,"AD, AG",Paris Saint-Germain,20,18,175 cm,"33,4 M €"
,,,,,,
Ibrahim Mbaye,,,,,,
,ATT,Lorient,9,26,178 cm,2 M €
,,,,,,
Bamba Dieng,,,,,,
,ATT,Bayern München,11,24,187 cm,"44,1 M €"
,,,,,,
Nicolas Jackson,,,,,,
,"ATT, AG",Samsunspor,12,30,190 cm,"4,4 M €"
,,,,,,
Cherif Ndiaye,,,,,,
