joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Angleterre,,51,,
,,,,,,
Graham Potter,,,,,,
,GA,Derby County,1,27,195 cm,"1,9 M €"
,,,,,,
Jacob Widell Zetterström,,,,,,
,GA,Stoke City,12,27,186 cm,"9,9 M €"
,,,,,,
Viktor Johansson,,,,,,
,GA,AIK,23,36,190 cm,"217,2 k €"
,,,,,,
Kristoffer Nordfeldt,,,,,,
,"DC, DD, DG",Braga,2,26,193 cm,"3,4 M €"
,,,,,,
Gustaf Lagerbielke,,,,,,
,"DC, MD, DD",Aston Villa,3,31,187 cm,"5,5 M €"
,,,,,,
Victor Nilsson Lindelöf,,,,,,
,DC,Atalanta,4,27,191 cm,"27,2 M €"
,,,,,,
Isak Hien,,,,,,
,DC,Burnley,14,27,187 cm,"6,8 M €"
,,,,,,
Hjalmar Ekdal,,,,,,
,DC,Celta Vigo,15,31,185 cm,4 M €
,,,,,,
Carl Starfelt,,,,,,
,"DC, MD",St. Pauli,20,29,190 cm,"3,7 M €"
,,,,,,
Eric Smith,,,,,,
,"DLG, DG, MG, DC",Leeds United,5,27,181 cm,"20,6 M €"
,,,,,,
Gabriel Gudmundsson,,,,,,
,"DLG, MG, DG, DC",Borussia Dortmund,8,24,183 cm,27 M €
,,,,,,
Daniel Svensson,,,,,,
,"DLG, MG, DG, AG",Pafos FC,13,32,177 cm,"597,5 k €"
,,,,,,
Ken Sema,,,,,,
,"MD, MC",Brighton & Hove Albion,18,22,172 cm,"38,3 M €"
,,,,,,
Yasin Ayari,,,,,,
,"MD, MC, AG, MO",Wolfsburg,19,27,178 cm,"9,9 M €"
,,,,,,
Mattias Svanberg,,,,,,
,"MC, MO, MG, MD, AG",Tottenham Hotspur,7,20,186 cm,57 M €
,,,,,,
Lucas Bergvall,,,,,,
,"MC, MD",Udinese,16,30,182 cm,"3,3 M €"
,,,,,,
Jesper Karlström,,,,,,
,"MC, MO, AD, AG",Union St.Gilloise,22,23,187 cm,"4,2 M €"
,,,,,,
Besfort Zeneli,,,,,,
,"MD, DC, DLD, DD",FC Dallas,6,28,190 cm,"1,2 M €"
,,,,,,
Herman Johansson,,,,,,
,"MD, DLD, MO, AD",Holstein Kiel,21,27,185 cm,"1,9 M €"
,,,,,,
Alexander Bernhardsson,,,,,,
,"MD, ATT",Malmö FF,26,27,,"642,9 k €"
,,,,,,
Taha Abdi AliBlessure à la cuisse - Quelques semaines,,,,,,
,"MG, AG, AD",Mjällby,24,23,,"2,1 M €"
,,,,,,
Elliot StroudBlessure à l'aine - Inconnu,,,,,,
,"MO, MC, ATT, AD",Celtic,10,24,184 cm,"8,6 M €"
,,,,,,
Benjamin Nygren,,,,,,
,"AD, ATT, MO",Newcastle United,11,24,178 cm,"49,8 M €"
,,,,,,
Anthony Elanga,,,,,,
,ATT,Liverpool,9,26,192 cm,"103,1 M €"
,,,,,,
Alexander Isak,,,,,,
,ATT,Arsenal,17,28,187 cm,"67,5 M €"
,,,,,,
Viktor Gyökeres,,,,,,
,ATT,Club Brugge,25,29,197 cm,"1,5 M €"
,,,,,,
Gustaf Nilsson,,,,,,
