joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Suisse,,51,,
,,,,,,
Murat Yakin,,,,,,
,GA,Borussia Dortmund,1,28,193 cm,"41,1 M €"
,,,,,,
Gregor Kobel,,,,,,
,GA,Lorient,12,31,186 cm,"2,2 M €"
,,,,,,
Yvon Mvogo,,,,,,
,GA,Young Boys,21,23,190 cm,"9,8 M €"
,,,,,,
Marvin Keller,,,,,,
,DC,Borussia Mönchengladbach,4,29,187 cm,"6,9 M €"
,,,,,,
Nico Elvedi,,,,,,
,DC,Inter,5,30,188 cm,"18,1 M €"
,,,,,,
Manuel Akanji,,,,,,
,DC,Valencia,18,28,183 cm,"1,5 M €"
,,,,,,
Eray Cömert,,,,,,
,"DC, DD",Eintracht Frankfurt,24,22,194 cm,"10,2 M €"
,,,,,,
Aurèle Amenda,,,,,,
,DC,VfB Stuttgart,25,23,187 cm,"12,9 M €"
,,,,,,
Luca Jaquez,,,,,,
,"DC, MD, MC",Monaco,6,29,189 cm,"26,4 M €"
,,,,,,
Denis Zakaria,,,,,,
,DG,Real Betis,13,33,180 cm,"1,6 M €"
,,,,,,
Ricardo Rodríguez,,,,,,
,"MD, MC",Bologna,8,34,181 cm,"2,7 M €"
,,,,,,
Remo Freuler,,,,,,
,"MD, MO, AD, MC, AG",Freiburg,9,20,182 cm,"31,2 M €"
,,,,,,
Johan Manzambi,,,,,,
,"MD, MC",Sunderland,10,33,185 cm,"17,1 M €"
,,,,,,
Granit Xhaka,,,,,,
,MC,Milan,14,23,181 cm,"33,9 M €"
,,,,,,
Ardon Jashari,,,,,,
,"MC, MD",Sevilla,15,29,184 cm,"7,2 M €"
,,,,,,
Djibril Sow,,,,,,
,"MC, MD",Pisa,20,29,185 cm,"4,9 M €"
,,,,,,
Michel Aebischer,,,,,,
,"MD, DD, DLG, MG, DLD",Mainz 05,3,33,182 cm,"772,8 k €"
,,,,,,
Silvan Widmer,,,,,,
,"MO, MD, MC, AD, DLG",Augsburg,22,24,179 cm,10 M €
,,,,,,
Fabian Rieder,,,,,,
,"AD, DD, MD",Huracan,2,29,174 cm,"723,6 k €"
,,,,,,
Lucas Blondel,,,,,,
,"AD, AG, MD, ATT, MO",Nottingham Forest,11,25,184 cm,"43,3 M €"
,,,,,,
Dan Ndoye,,,,,,
,"AD, MD, ATT, MO, MG, AG",Young Boys,16,32,185 cm,"1,4 M €"
,,,,,,
Christian Fassnacht,,,,,,
,AD,Burnley,23,25,185 cm,"12,2 M €"
,,,,,,
Zeki Amdouni,,,,,,
,"AG, MO, MD, AD",Sevilla,17,27,174 cm,"12,7 M €"
,,,,,,
Rubén Vargas,,,,,,
,"AG, ATT, MO",Leeds United,19,26,185 cm,21 M €
,,,,,,
Noah Okafor,,,,,,
,ATT,Rennes,7,29,187 cm,"12,7 M €"
,,,,,,
Breel Embolo,,,,,,
,ATT,Fortuna Düsseldorf,26,29,189 cm,"1,4 M €"
,,,,,,
Cedric Itten,,,,,,
