joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Tchéquie,,74,,
,,,,,,
Miroslav Koubek,,,,,,
,GA,PSV Eindhoven,1,26,196 cm,"6,8 M €"
,,,,,,
Matej Kovár,,,,,,
,GA,Slavia Prague,16,30,192 cm,"1,6 M €"
,,,,,,
Jindrich Stanek,,,,,,
,GA,Braga,23,23,197 cm,"12,3 M €"
,,,,,,
Lukás Hornícek,,,,,,
,"DD, DLD, MD",Hoffenheim,5,33,176 cm,2 M €
,,,,,,
Vladimír Coufal,,,,,,
,DC,Slavia Prague,2,25,190 cm,"6,9 M €"
,,,,,,
David ZimaBlessé - Inconnu,,,,,,
,"DC, DD",Slavia Prague,3,33,180 cm,912 k €
,,,,,,
Tomás Holes,,,,,,
,DC,Hoffenheim,4,26,190 cm,2 M €
,,,,,,
Robin Hranác,,,,,,
,DC,Slavia Prague,6,23,188 cm,6 M €
,,,,,,
Stepán Chaloupek,,,,,,
,"DC, MC, MD",Wolverhampton Wanderers,7,27,191 cm,"24,1 M €"
,,,,,,
Ladislav Krejcí,,,,,,
,"DC, DG, MG, DLG",Sparta Prague,20,33,189 cm,344 k €
,,,,,,
Jaroslav Zeleny,,,,,,
,"DLG, DG, MG",Slavia Prague,14,25,183 cm,"3,5 M €"
,,,,,,
David Jurásek,,,,,,
,"MD, MC, DLG, MO",Viktoria Plzen,12,25,179 cm,"6,5 M €"
,,,,,,
Lukás Cerv,,,,,,
,"MD, MC, MO",Slavia Prague,18,27,169 cm,"7,5 M €"
,,,,,,
Michal Sadílek,,,,,,
,"MD, MC, MO",West Ham United,22,31,190 cm,"13,3 M €"
,,,,,,
Tomás Soucek,,,,,,
,"MC, MD",Hradec Kralove,8,35,171 cm,"164,3 k €"
,,,,,,
Vladimír Darida,,,,,,
,"MC, MD",Sparta Prague,25,17,184 cm,230 k €
,,,,,,
Hugo Sochurek,,,,,,
,"MD, DLD, DD",Slavia Prague,21,28,175 cm,"2,4 M €"
,,,,,,
David Doudera,,,,,,
,"MG, DD, AD, DLG",Viktoria Plzen,24,23,188 cm,"990,7 k €"
,,,,,,
Alexandr Sojka,,,,,,
,MO,Hoffenheim,9,23,185 cm,"16,4 M €"
,,,,,,
Adam Hlozek,,,,,,
,"MO, ATT, AD, AG",Lyon,15,25,177 cm,"13,8 M €"
,,,,,,
Pavel Sulc,,,,,,
,"MO, AD, AG",Slavia Prague,17,29,189 cm,"6,6 M €"
,,,,,,
Lukás ProvodBlessé - Inconnu,,,,,,
,"AG, MD, MO, AD, DLG, ATT, MD",Viktoria Plzen,26,23,177 cm,"1,8 M €"
,,,,,,
Denis Visinsky,,,,,,
,"ATT, MO",Bayer Leverkusen,10,30,186 cm,"20,3 M €"
,,,,,,
Patrik Schick,,,,,,
,ATT,Sparta Prague,11,29,184 cm,"1,4 M €"
,,,,,,
Jan KuchtaBlessure à la cheville - Quelques jours,,,,,,
,"ATT, AD, MO",Slavia Prague,13,27,187 cm,"2,6 M €"
,,,,,,
Mojmír Chytil,,,,,,
,"ATT, AG",Slavia Prague,19,31,198 cm,"1,7 M €"
,,,,,,
Tomás Chory,,,,,,
