joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,France,,54,,
,,,,,,
Sabri Lamouchi,,,,,,
,GA,CS Sfaxien,16,29,188 cm,"707,4 k €"
,,,,,,
Aymen Dahmen,,,,,,
,GA,Etoile du Sahel,28,29,189 cm,450 k €
,,,,,,
Sabri Ben Hassen,,,,,,
,"DD, MC, DLD, MD, DC, MD",Young Boys,20,27,181 cm,"803,9 k €"
,,,,,,
Yan Valery,,,,,,
,"DD, AD",IFK Norrköping,23,21,182 cm,"640,2 k €"
,,,,,,
Moutaz Neffati,,,,,,
,DC,Lorient,3,28,190 cm,"6,4 M €"
,,,,,,
Montassar Talbi,,,,,,
,DC,Maribor,4,24,188 cm,391 k €
,,,,,,
Omar Rekik,,,,,,
,DC,Servette,6,30,186 cm,"542,4 k €"
,,,,,,
Dylan Bronn,,,,,,
,DC,Kasımpaşa,24,21,188 cm,"1,6 M €"
,,,,,,
Adem Arous,,,,,,
,"DG, DLG, MG",Nice,2,32,177 cm,"1,7 M €"
,,,,,,
Ali Abdi,,,,,,
,"DG, DC",Espérance,21,30,181 cm,700 k €
,,,,,,
Mohamed Amine Ben Hmida,,,,,,
,"MD, MC",Union Berlin,13,32,188 cm,"1,5 M €"
,,,,,,
Rani Khedira,,,,,,
,"MD, MC, DC",Eintracht Frankfurt,17,31,185 cm,"4,5 M €"
,,,,,,
Ellyes Skhiri,,,,,,
,"MG, AG, AD",FC København,7,27,187 cm,"2,3 M €"
,,,,,,
Elias Achouri,,,,,,
,"MO, MC, MD",Burnley,10,23,177 cm,"19,7 M €"
,,,,,,
Hannibal Mejbri,,,,,,
,"MO, AG, MC",Augsburg,11,22,180 cm,"8,3 M €"
,,,,,,
Ismaël Gharbi,,,,,,
,"MO, MC, MD",Lugano,15,26,179 cm,3 M €
,,,,,,
Hadj Mahmoud,,,,,,
,"MO, AD",Norwich City,25,25,188 cm,"2,2 M €"
,,,,,,
Anis Ben Slimane,,,,,,
,"AG, MO",Hannover 96,8,26,185 cm,"1,9 M €"
,,,,,,
Elias Saad,,,,,,
,"AG, MO, DG, AD, MC",Kasımpaşa,21,31,188 cm,"1,3 M €"
,,,,,,
Mortadha Ben Ouanes,,,,,,
,"AG, AD",Celtic,26,23,182 cm,"5,6 M €"
,,,,,,
Sebastian Tounekti,,,,,,
,"ATT, AG, MG",Dynamo Makhachkala,9,28,191 cm,"672,6 k €"
,,,,,,
Hazem Mastouri,,,,,,
,ATT,Vancouver Whitecaps,18,18,180 cm,"1,5 M €"
,,,,,,
Rayan Elloumi,,,,,,
,ATT,Club Africain,19,30,185 cm,"804,2 k €"
,,,,,,
Firas Chaouat,,,,,,
