joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Italie,,51,172 cm,
,,,,,,
Vincenzo Montella,,,,,,
,GA,Fenerbahçe,1,37,196 cm,"534,1 k €"
,,,,,,
Mert Günok,,,,,,
,GA,Manchester United,12,28,198 cm,8 M €
,,,,,,
Altay Bayindir,,,,,,
,GA,Galatasaray,23,30,191 cm,"16,4 M €"
,,,,,,
Ugurcan Çakir,,,,,,
,"DD, DC, DG",Fenerbahçe,18,27,188 cm,"6,3 M €"
,,,,,,
Mert Müldür,,,,,,
,DC,Al Ahli,3,28,192 cm,"14,2 M €"
,,,,,,
Merih Demiral,,,,,,
,DC,Fenerbahçe,4,30,187 cm,"3,7 M €"
,,,,,,
Caglar Söyüncü,,,,,,
,DC,Galatasaray,14,31,184 cm,"4,9 M €"
,,,,,,
Abdülkerim Bardakci,,,,,,
,DC,Hoffenheim,15,26,185 cm,"3,4 M €"
,,,,,,
Ozan Kabak,,,,,,
,DC,Rizespor,25,32,190 cm,"707,6 k €"
,,,,,,
Samet Akaydin,,,,,,
,"DG, AG",Galatasaray,13,25,180 cm,"5,1 M €"
,,,,,,
Eren Elmali,,,,,,
,"DG, DD, AD, DLD",Brighton & Hove Albion,20,26,173 cm,"37,5 M €"
,,,,,,
Ferdi Kadioglu,,,,,,
,"DLD, DC, MD, DD",Roma,2,29,180 cm,"7,6 M €"
,,,,,,
Zeki Çelik,,,,,,
,"MD, DC",Galatasaray,22,31,184 cm,"1,4 M €"
,,,,,,
Kaan Ayhan,,,,,,
,"MD, MO, MC",Beşiktaş,6,25,175 cm,"26,5 M €"
,,,,,,
Orkun Kökcü,,,,,,
,"MD, MO, MC",Fenerbahçe,16,27,183 cm,"13,4 M €"
,,,,,,
Ismail Yüksek,,,,,,
,MC,Borussia Dortmund,5,28,180 cm,"1,9 M €"
,,,,,,
Salih Özcan,,,,,,
,"MC, MD",Inter,10,32,176 cm,"12,3 M €"
,,,,,,
Hakan Çalhanoglu,,,,,,
,"MO, MC, MG, AD, MD",Real Madrid,8,21,176 cm,"91,1 M €"
,,,,,,
Arda Güler,,,,,,
,"MO, AG, ATT",Juventus,11,21,185 cm,"83,2 M €"
,,,,,,
Kenan YildizBlessure musculaire - Mi juin 2026,,,,,,
,"MO, AD, AG, ATT",Galatasaray,19,25,173 cm,"19,2 M €"
,,,,,,
Yunus Akgün,,,,,,
,"MO, MC, AG",Eintracht Frankfurt,26,20,186 cm,"51,7 M €"
,,,,,,
Can Uzun,,,,,,
,"AD, MO, MD",Kasımpaşa,17,30,176 cm,"1,9 M €"
,,,,,,
Irfan Kahveci,,,,,,
,"AD, AG, DD, DLD",Fenerbahçe,24,25,183 cm,"9,2 M €"
,,,,,,
Oguz Aydin,,,,,,
,"AG, ATT, MO",Fenerbahçe,7,27,173 cm,"22,5 M €"
,,,,,,
Kerem Aktürkoglu,,,,,,
,"AG, ATT, AD, MG, MO",Galatasaray,21,26,186 cm,"23,1 M €"
,,,,,,
Baris Alper Yilmaz,,,,,,
,"ATT, AG",FC Porto,9,21,190 cm,"7,3 M €"
,,,,,,
Deniz Gül,,,,,,
