joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Argentine,,70,,
,,,,,,
Marcelo Bielsa,,,,,,
,GA,Internacional,1,33,189 cm,"1,2 M €"
,,,,,,
Sergio RochetBlessure au dos - Mi juin 2026,,,,,,
,GA,Monterrey,12,28,185 cm,"1,7 M €"
,,,,,,
Santiago Mele,,,,,,
,GA,Estudiantes,23,39,190 cm,"643,5 k €"
,,,,,,
Fernando Muslera,,,,,,
,"DD, DG",Flamengo,13,33,173 cm,"1,1 M €"
,,,,,,
Guillermo Varela,,,,,,
,"DD, MC, MD, MD, AD",Real Madrid,8,27,182 cm,113 M €
,,,,,,
Federico Valverde,,,,,,
,DC,Atletico Madrid,2,31,185 cm,"12,7 M €"
,,,,,,
José Giménez,,,,,,
,DC,CF America,3,26,180 cm,"3,1 M €"
,,,,,,
Sebastián Cáceres,,,,,,
,"DC, DD",Barcelona,4,27,192 cm,"31,2 M €"
,,,,,,
Ronald Araujo,,,,,,
,"DC, DG, DLG",Napoli,16,28,185 cm,"17,6 M €"
,,,,,,
Mathías Olivera,,,,,,
,DC,Wolverhampton Wanderers,24,27,189 cm,"14,4 M €"
,,,,,,
Santiago Bueno,,,,,,
,DG,River Plate,17,28,180 cm,"3,2 M €"
,,,,,,
Matías Viña,,,,,,
,"DG, AG, MG",Sporting CP,20,26,180 cm,"25,1 M €"
,,,,,,
Maxi Araújo,,,,,,
,"DG, DLG",Palmeiras,22,27,185 cm,"13,2 M €"
,,,,,,
Joaquín Piquerez,,,,,,
,"DG, DLG, MG, AG, AD",Real Salt Lake,25,26,172 cm,6 M €
,,,,,,
Juan Sanabria,,,,,,
,"MD, MC",Manchester United,5,25,182 cm,42 M €
,,,,,,
Manuel Ugarte,,,,,,
,"MD, MC",Tottenham Hotspur,6,28,187 cm,"21,1 M €"
,,,,,,
Rodrigo Bentancur,,,,,,
,"MD, MC",Flamengo,7,29,167 cm,"10,3 M €"
,,,,,,
Nicolás de la Cruz,,,,,,
,"MD, MC, DC",Palmeiras,15,26,184 cm,9 M €
,,,,,,
Emiliano Martínez,,,,,,
,"MO, AG, MC",Flamengo,10,32,177 cm,"14,4 M €"
,,,,,,
Giorgian De ArrascaetaClavicule cassée - Mi juin 2026,,,,,,
,"AD, AG, MD",Panathinaikos,11,24,174 cm,"6,8 M €"
,,,,,,
Facundo Pellistri,,,,,,
,"AD, AG, MD",Fluminense,14,27,175 cm,"4,9 M €"
,,,,,,
Agustín Canobbio,,,,,,
,"AD, MO, AG, MC, ATT",Braga,26,26,178 cm,"22,7 M €"
,,,,,,
Rodrigo Zalazar,,,,,,
,"AG, AD, MO, ATT",CF America,18,26,174 cm,"8,5 M €"
,,,,,,
Brian Rodríguez,,,,,,
,"ATT, AG, MO",Al Hilal,9,26,187 cm,"26,7 M €"
,,,,,,
Darwin Núñez,,,,,,
,ATT,Tigres,19,31,186 cm,"1,7 M €"
,,,,,,
Rodrigo Aguirre,,,,,,
,"ATT, AD",Real Oviedo,21,27,181 cm,"2,7 M €"
,,,,,,
Federico Viñas,,,,,,
