joueur,Position,Club,Numéro,Âge,Taille,Valeur de transfert
,Entraineur,Argentine,,54,,
,,,,,,
Mauricio Pochettino,,,,,,
,GA,New England Revolution,1,31,190 cm,"1,5 M €"
,,,,,,
Matt Turner,,,,,,
,GA,New York City FC,24,27,191 cm,"1,4 M €"
,,,,,,
Matt Freese,,,,,,
,GA,Chicago Fire FC,25,22,190 cm,"2,2 M €"
,,,,,,
Chris Brady,,,,,,
,"DD, DG, DLD",PSV Eindhoven,2,25,170 cm,"19,4 M €"
,,,,,,
Sergiño Dest,,,,,,
,"DD, DC",Villarreal,16,21,188 cm,"2,6 M €"
,,,,,,
Alex Freeman,,,,,,
,DC,Crystal Palace,3,26,188 cm,"21,5 M €"
,,,,,,
Chris Richards,,,,,,
,DC,Celtic,6,27,188 cm,"5,7 M €"
,,,,,,
Auston Trusty,,,,,,
,DC,FC Cincinnati,12,29,188 cm,2 M €
,,,,,,
Miles Robinson,,,,,,
,DC,Charlotte FC,13,38,186 cm,72 k €
,,,,,,
Tim Ream,,,,,,
,DC,Toulouse,22,27,184 cm,"6,5 M €"
,,,,,,
Mark McKenzie,,,,,,
,"DG, DLG",Fulham,5,28,183 cm,"32,2 M €"
,,,,,,
Antonee Robinson,,,,,,
,"DLD, DD, DC, MD",Borussia Mönchengladbach,23,23,178 cm,"10,7 M €"
,,,,,,
Joseph Scally,,,,,,
,"DLD, MO, MD, AD, MC, MD, DLG",Juventus,8,27,185 cm,"19,1 M €"
,,,,,,
Weston McKennie,,,,,,
,"DLD, DD, AG, MD",Marseille,21,26,183 cm,"22,6 M €"
,,,,,,
Timothy Weah,,,,,,
,"DLG, MG, DG, MD",Columbus Crew,18,25,185 cm,"2,8 M €"
,,,,,,
Max Arfsten,,,,,,
,"MD, MC",AFC Bournemouth,4,27,175 cm,27 M €
,,,,,,
Tyler Adams,,,,,,
,"MD, MC, AD",Vancouver Whitecaps,14,25,175 cm,3 M €
,,,,,,
Sebastian Berhalter,,,,,,
,"MD, MC",Seattle Sounders FC,15,31,173 cm,"1,9 M €"
,,,,,,
Cristian Roldan,,,,,,
,"MO, MC",Borussia Mönchengladbach,7,23,183 cm,8 M €
,,,,,,
Giovanni Reyna,,,,,,
,"MO, AD, MC, ATT, MG, AG",Leeds United,11,25,178 cm,"20,8 M €"
,,,,,,
Brenden Aaronson,,,,,,
,"MO, AG, MD",Bayer Leverkusen,17,24,187 cm,"34,5 M €"
,,,,,,
Malik Tillman,,,,,,
,"AD, MO, AG",CF America,26,28,173 cm,"9,7 M €"
,,,,,,
Alex Zendejas,,,,,,
,ATT,PSV Eindhoven,9,23,185 cm,"26,2 M €"
,,,,,,
Ricardo Pepi,,,,,,
,"ATT, AG",Milan,10,27,178 cm,"44,6 M €"
,,,,,,
Christian Pulisic,,,,,,
,ATT,Coventry City,19,28,193 cm,"12,2 M €"
,,,,,,
Haji Wright,,,,,,
,ATT,Monaco,20,24,179 cm,"23,8 M €"
,,,,,,
Folarin Balogun,,,,,,
